Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96137,0,1.81752,0.00102654,0.07277,0,0.111504,5.43294e-06,0.115921,0,1.23285,0.0010195,0.0183241,0,0.0876581,5.34345e-06,, , 0.067819,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134913,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.34345e-06,0.0585562
2,15.1249,15.1824,11.3421,0.0105983,0.500507,0.504257,3.47523,0.0013893,3.68414,3.74165,9.61556,0.0102848,0.174681,0.178431,2.60678,8.63696e-05,, , 0.533167,6.59864,0.293982,15.1163,9.97854,9.61556,0.0102848,0.0155217,0.205009,0.129148,0.0189553,0.00853657,0.640836,2.60678,8.63696e-05,0.920125
3,4.20552,4.23062,7.27575,0.0211776,0.174119,0.175532,2.87844,0.000932905,0.891333,0.916438,6.41758,0.0205506,0.0704761,0.0718891,1.14891,0.000114766,, , 0.229966,1.44982,0.127988,5.23262,3.22802,6.41758,0.0205506,0.0293457,0.0922932,0.0417726,0.00829934,0.00755516,0.204585,1.14891,0.000114766,1.73961
4,6.18205,6.23873,7.76641,0.043556,0.280155,0.284149,5.56199,0.0010591,1.10806,1.16474,6.41559,0.042302,0.137645,0.141639,2.10397,0.000257388,, , 0.475061,1.54823,0.249511,8.74862,4.69842,6.41559,0.042302,0.0584488,0.18677,0.0761984,0.0163165,0.0118465,0.284231,2.10397,0.000257388,3.46485
5,1.5321,1.55296,7.0368,0.0842129,0.0883953,0.0899352,7.65649,0.00116142,0.276399,0.297255,5.50098,0.0817047,0.0488394,0.0503793,0.742653,0.000551164,, , 0.174896,0.307138,0.0916197,6.2831,1.66068,5.50098,0.0817047,0.116473,0.0692189,0.024022,0.00597769,0.017688,0.0855392,0.742653,0.000551164,6.90454
6,2.44842,2.49245,8.43911,0.162259,0.151494,0.154809,15.2949,0.000742143,0.451689,0.495717,5.50174,0.157243,0.0974848,0.1008,1.46753,0.000623954,, , 0.356888,0.409594,0.180924,11.9572,2.76674,5.50174,0.157243,0.232886,0.139615,0.0467762,0.0118936,0.0313899,0.125166,1.46753,0.000623954,13.8055
7,0.470139,0.471281,9.57553,0.312214,0.0297729,0.0300965,49.3644,0.000257873,0.385901,0.387043,0.0130355,0.29513,0.0164471,0.0167707,0.201691,4.06482e-05,, , 0.0101616,0.757676,0.00510665,12.0326,0.287429,0.0130355,0.29513,0.827824,0.0137076,0.0183357,0.00117461,0.107445,0.0520212,0.201691,4.06482e-05,49.0734
8,0.0286213,0.0287578,0.0180809,0.000812091,0.000539312,0.000545258,0.0602488,3.54545e-07,0.00198524,0.00212175,0.00211005,0.000791236,8.74586e-05,9.34053e-05,0.000229628,8.9378e-08,, , 0.00127327,0.00218914,0.000644581,0.0803593,0.0212412,0.00211005,0.000791236,0.00101147,7.36191e-05,8.89254e-05,1.83194e-05,0.000321226,0.00074128,0.000229628,8.9378e-08,0.0599602
Total,37.9531,30.1972,53.2713,0.635857,1.29775,1.23932,84.4032,0.00554853,6.91543,7.00496,34.6995,0.609025,0.563985,0.560003,8.35943,0.00167972,, , 1.84923,11.0806,0.990543,66.3248,24.208,34.6995,0.609025,1.2825,0.720178,0.339823,0.0639867,0.186405,1.4432,8.35943,0.00167972,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.1207,0.00819287,1.51094,19.4433,0.0203133,3.7462
