Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96137,0,1.81752,0.00102029,0.0727696,0,0.111504,6.40062e-06,0.115918,0,1.23285,0.00101325,0.0183237,0,0.0876581,6.31112e-06,, , 0.0678161,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00101325,0.000987789,0.0134909,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.31112e-06,0.0585562
2,15.1257,15.1832,11.3421,0.0110918,0.501451,0.505179,3.47523,5.5802e-05,3.68502,3.74253,9.61561,0.0107782,0.175625,0.179353,2.60678,3.02595e-06,, , 0.534926,6.59864,0.293982,15.1163,9.97854,9.61561,0.0107782,0.0155217,0.206871,0.129148,0.0189599,0.00853657,0.640836,2.60678,3.02595e-06,0.920125
3,4.20557,4.23068,7.27577,0.0210233,0.174128,0.175536,2.87844,0.00109582,0.891385,0.916489,6.4176,0.0203962,0.0704855,0.0718936,1.14891,0.000135131,, , 0.23007,1.44982,0.127988,5.23262,3.22802,6.4176,0.0203962,0.0293457,0.0923062,0.0417726,0.00830036,0.00755516,0.204585,1.14891,0.000135131,1.73961
4,6.1827,6.23938,7.76661,0.0436662,0.280204,0.284099,5.58613,0.00118059,1.10871,1.16539,6.41579,0.0424121,0.137694,0.141588,2.12812,0.000287761,, , 0.476365,1.54823,0.249511,8.74862,4.69842,6.41579,0.0424121,0.0584488,0.186747,0.0761984,0.0163371,0.0118465,0.284231,2.12812,0.000287761,3.46485
5,1.53323,1.55408,7.03645,0.0847935,0.088589,0.0902157,7.64761,0.00115833,0.277524,0.29838,5.50063,0.0822854,0.0490331,0.0506597,0.73377,0.00054962,, , 0.177146,0.307138,0.0916197,6.2831,1.66068,5.50063,0.0822854,0.116473,0.069711,0.024022,0.00595976,0.017688,0.0855392,0.73377,0.00054962,6.90454
6,2.44676,2.49079,8.43917,0.16028,0.151342,0.154631,15.2949,0.000569495,0.450031,0.494059,5.5018,0.155263,0.0973332,0.100622,1.46754,0.000451306,, , 0.353572,0.409594,0.180924,11.9572,2.76674,5.5018,0.155263,0.232886,0.13928,0.0467762,0.0118991,0.0313899,0.125166,1.46754,0.000451306,13.8055
7,0.470128,0.47127,9.57549,0.212924,0.0296664,0.0300001,49.3627,0.000238874,0.385891,0.387033,0.0129947,0.195839,0.0163406,0.0166743,0.199938,2.16497e-05,, , 0.0101402,0.757676,0.00510665,12.0326,0.287429,0.0129947,0.195839,0.827824,0.0135068,0.0183357,0.00117253,0.107445,0.0520212,0.199938,2.16497e-05,49.0734
8,0.0286133,0.0287498,0.0180842,0.000848124,0.000539334,0.000545268,0.0602488,3.61864e-07,0.00197727,0.00211377,0.00211335,0.000827269,8.74806e-05,9.34146e-05,0.000229628,9.66973e-08,, , 0.00125732,0.00218914,0.000644581,0.0803593,0.0212412,0.00211335,0.000827269,0.00101147,7.36478e-05,8.89254e-05,1.83221e-05,0.000321226,0.00074128,0.000229628,9.66973e-08,0.0599602
Total,37.9541,30.1982,53.2712,0.535647,1.29869,1.24021,84.4168,0.00430568,6.91646,7.00599,34.6994,0.508815,0.564923,0.560884,8.37295,0.0014549,, , 1.85129,11.0806,0.990543,66.3248,24.208,34.6994,0.508815,1.2825,0.721986,0.339823,0.0639984,0.186405,1.4432,8.37295,0.0014549,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12035,0.00819947,1.51216,19.4123,0.0203539,3.75369
