Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96139,0,1.81752,0.00102654,0.0727762,0,0.111504,6.11048e-06,0.115947,0,1.23285,0.0010195,0.0183303,0,0.0876581,6.02099e-06,, , 0.0678445,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134976,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.02099e-06,0.0585562
2,15.1238,15.1813,11.3417,0.00879287,0.500589,0.504513,3.44752,0.000107745,3.68312,3.74062,9.61521,0.00847936,0.174763,0.178687,2.57907,6.27236e-06,, , 0.531125,6.59864,0.293982,15.1163,9.97854,9.61521,0.00847936,0.0155217,0.205384,0.129148,0.0189193,0.00853657,0.640836,2.57907,6.27236e-06,0.920125
3,4.20635,4.23145,7.27454,0.019853,0.170892,0.172603,2.83018,0.000451852,0.892162,0.917267,6.41638,0.019226,0.0672498,0.0689608,1.10065,5.46348e-05,, , 0.231624,1.44982,0.127988,5.23262,3.22802,6.41638,0.019226,0.0293457,0.0862004,0.0417726,0.00823772,0.00755516,0.204585,1.10065,5.46348e-05,1.73961
4,6.17764,6.23431,7.76739,0.0390977,0.270007,0.273515,5.65856,0.000745013,1.10365,1.16032,6.41657,0.0378437,0.127497,0.131005,2.20054,0.000178866,, , 0.46623,1.54823,0.249511,8.74862,4.69842,6.41657,0.0378437,0.0584488,0.165887,0.0761984,0.0164169,0.0118465,0.284231,2.20054,0.000178866,3.46485
5,1.52967,1.55053,7.03875,0.0626602,0.0875207,0.0885774,7.70974,0.000143452,0.273968,0.294824,5.50293,0.0601521,0.0479648,0.0490214,0.795908,4.21786e-05,, , 0.170034,0.307138,0.0916197,6.2831,1.66068,5.50293,0.0601521,0.116473,0.0668865,0.024022,0.00607764,0.017688,0.0855392,0.795908,4.21786e-05,6.90454
6,2.44363,2.48765,8.44023,0.108654,0.149096,0.151859,15.3482,0.000162044,0.446898,0.490926,5.50286,0.103637,0.0950872,0.0978502,1.52083,4.3855e-05,, , 0.347306,0.409594,0.180924,11.9572,2.76674,5.50286,0.103637,0.232886,0.134153,0.0467762,0.0120078,0.0313899,0.125166,1.52083,4.3855e-05,13.8055
7,0.469988,0.47113,9.57561,0.171794,0.0293645,0.0296679,49.3679,0.000235976,0.38575,0.386892,0.0131173,0.15471,0.0160388,0.0163421,0.205196,1.87519e-05,, , 0.00985991,0.757676,0.00510665,12.0326,0.287429,0.0131173,0.15471,0.827824,0.0128664,0.0183357,0.0011788,0.107445,0.0520212,0.205196,1.87519e-05,49.0734
8,0.0286214,0.0287579,0.0180507,0.000470728,0.000539271,0.000545334,0.0602466,3.252e-07,0.0019854,0.0021219,0.00207985,0.000449872,8.7418e-05,9.34813e-05,0.000227484,6.00339e-08,, , 0.00127358,0.00218914,0.000644581,0.0803593,0.0212412,0.00207985,0.000449872,0.00101147,7.36785e-05,8.89254e-05,1.82953e-05,0.000321226,0.00074128,0.000227484,6.00339e-08,0.0599602
Total,37.9411,30.1852,53.2738,0.412349,1.28079,1.22128,84.5339,0.00185252,6.90348,6.99298,34.702,0.385517,0.547018,0.541961,8.49008,0.00035064,, , 1.8253,11.0806,0.990543,66.3248,24.208,34.702,0.385517,1.2825,0.684948,0.339823,0.0642078,0.186405,1.4432,8.49008,0.00035064,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11846,0.00820934,1.51398,19.2519,0.0204148,3.76493
