Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96139,0,1.81752,0.00102654,0.0727746,0,0.111504,6.11957e-06,0.115945,0,1.23285,0.0010195,0.0183287,0,0.0876581,6.03008e-06,, , 0.0678424,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.013496,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.03008e-06,0.0585562
2,15.1255,15.183,11.3421,0.0110378,0.500794,0.504556,3.47522,0.000537652,3.68479,3.74229,9.61554,0.0107243,0.174969,0.17873,2.60678,3.31416e-05,, , 0.534464,6.59864,0.293982,15.1163,9.97854,9.61554,0.0107243,0.0155217,0.205598,0.129148,0.0189529,0.00853657,0.640836,2.60678,3.31416e-05,0.920125
3,4.20547,4.23057,7.27596,0.0220773,0.174166,0.175528,2.87845,5.17659e-05,0.891283,0.916387,6.41779,0.0214502,0.0705233,0.0718851,1.14892,4.62403e-06,, , 0.229866,1.44982,0.127988,5.23262,3.22802,6.41779,0.0214502,0.0293457,0.0923259,0.0417726,0.00830993,0.00755516,0.204585,1.14892,4.62403e-06,1.73961
4,6.18318,6.23986,7.76638,0.0423473,0.280617,0.284622,5.56199,0.00126685,1.10919,1.16587,6.41557,0.0410933,0.138106,0.142112,2.10397,0.000309325,, , 0.477319,1.54823,0.249511,8.74862,4.69842,6.41557,0.0410933,0.0584488,0.187706,0.0761984,0.0163141,0.0118465,0.284231,2.10397,0.000309325,3.46485
5,1.53357,1.55443,7.03641,0.0854714,0.0886491,0.0902851,7.6476,0.001204,0.277869,0.298725,5.50059,0.0829633,0.0490931,0.0507292,0.733769,0.000572455,, , 0.177836,0.307138,0.0916197,6.2831,1.66068,5.50059,0.0829633,0.116473,0.0698425,0.024022,0.00595781,0.017688,0.0855392,0.733769,0.000572455,6.90454
6,2.44852,2.49255,8.43895,0.162868,0.151409,0.154806,15.2772,0.000738394,0.451789,0.495816,5.50158,0.157851,0.0973999,0.100797,1.44977,0.000620205,, , 0.357087,0.409594,0.180924,11.9572,2.76674,5.50158,0.157851,0.232886,0.139545,0.0467762,0.0118765,0.0313899,0.125166,1.44977,0.000620205,13.8055
7,0.470128,0.47127,9.5755,0.264415,0.0295685,0.0299006,49.3627,0.000247514,0.38589,0.387032,0.0130009,0.24733,0.0162428,0.0165749,0.199938,3.02892e-05,, , 0.0101398,0.757676,0.00510665,12.0326,0.287429,0.0130009,0.24733,0.827824,0.0133092,0.0183357,0.00117284,0.107445,0.0520212,0.199938,3.02892e-05,49.0734
8,0.0286094,0.0287459,0.0180936,0.000873124,0.000539337,0.000545235,0.0602488,3.61698e-07,0.00197338,0.00210988,0.00212268,0.000852269,8.74835e-05,9.33815e-05,0.000229629,9.6531e-08,, , 0.00124954,0.00218914,0.000644581,0.0803593,0.0212412,0.00212268,0.000852269,0.00101147,7.361e-05,8.89254e-05,1.83295e-05,0.000321226,0.00074128,0.000229629,9.6531e-08,0.0599602
Total,37.9564,30.2004,53.2709,0.590116,1.29852,1.24024,84.3748,0.00405266,6.91873,7.00823,34.699,0.563285,0.56475,0.560922,8.33103,0.00157617,, , 1.8558,11.0806,0.990543,66.3248,24.208,34.699,0.563285,1.2825,0.721896,0.339823,0.0639537,0.186405,1.4432,8.33103,0.00157617,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12138,0.00819553,1.51143,19.4984,0.0203296,3.74922
