Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96136,0,1.81752,0.00102654,0.0727676,0,0.111504,7.13741e-06,0.115909,0,1.23285,0.0010195,0.0183217,0,0.0876581,7.04792e-06,, , 0.0678071,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.013489,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.04792e-06,0.0585562
2,15.1252,15.1827,11.342,0.0102576,0.500367,0.504148,3.47522,0.000599999,3.68451,3.74202,9.6155,0.00994405,0.174541,0.178322,2.60677,3.70383e-05,, , 0.533916,6.59864,0.293982,15.1163,9.97854,9.6155,0.00994405,0.0155217,0.204766,0.129148,0.0189489,0.00853657,0.640836,2.60677,3.70383e-05,0.920125
3,4.2059,4.231,7.27547,0.0219038,0.174223,0.175706,2.86638,0.00190066,0.891712,0.916817,6.4173,0.0212767,0.0705805,0.0720638,1.13685,0.000235736,, , 0.230724,1.44982,0.127988,5.23262,3.22802,6.4173,0.0212767,0.0293457,0.092587,0.0417726,0.0082848,0.00755516,0.204585,1.13685,0.000235736,1.73961
4,6.18247,6.23915,7.76643,0.0431232,0.280018,0.284002,5.58612,0.00142299,1.10848,1.16516,6.41561,0.0418691,0.137507,0.141492,2.12811,0.00034836,, , 0.475901,1.54823,0.249511,8.74862,4.69842,6.41561,0.0418691,0.0584488,0.186482,0.0761984,0.0163185,0.0118465,0.284231,2.12811,0.00034836,3.46485
5,1.53198,1.55283,7.03706,0.0863588,0.0882254,0.0897013,7.66537,0.00163974,0.276272,0.297129,5.50124,0.0838507,0.0486695,0.0501454,0.751532,0.000790324,, , 0.174643,0.307138,0.0916197,6.2831,1.66068,5.50124,0.0838507,0.116473,0.0688019,0.024022,0.00599093,0.017688,0.0855392,0.751532,0.000790324,6.90454
6,2.44664,2.49066,8.43928,0.170522,0.151367,0.154602,15.2949,0.0014402,0.449907,0.493935,5.5019,0.165506,0.0973578,0.100593,1.46754,0.00132201,, , 0.353323,0.409594,0.180924,11.9572,2.76674,5.5019,0.165506,0.232886,0.139265,0.0467762,0.0119101,0.0313899,0.125166,1.46754,0.00132201,13.8055
7,0.470134,0.471276,9.57545,0.333991,0.0297807,0.0301246,49.3609,0.000265364,0.385897,0.387039,0.0129533,0.316907,0.016455,0.0167989,0.198185,4.81393e-05,, , 0.0101525,0.757676,0.00510665,12.0326,0.287429,0.0129533,0.316907,0.827824,0.0137478,0.0183357,0.00117041,0.107445,0.0520212,0.198185,4.81393e-05,49.0734
8,0.0286231,0.0287596,0.018048,0.000650798,0.000539283,0.000545357,0.0602466,3.38583e-07,0.00198707,0.00212357,0.00207711,0.000629943,8.74301e-05,9.35041e-05,0.000227484,7.34169e-08,, , 0.00127693,0.00218914,0.000644581,0.0803593,0.0212412,0.00207711,0.000629943,0.00101147,7.37157e-05,8.89254e-05,1.82931e-05,0.000321226,0.00074128,0.000227484,7.34169e-08,0.0599602
Total,37.9523,30.1964,53.2713,0.667834,1.29729,1.23883,84.4207,0.00727643,6.91468,7.00422,34.6994,0.641003,0.56352,0.559509,8.37687,0.00278873,, , 1.84774,11.0806,0.990543,66.3248,24.208,34.6994,0.641003,1.2825,0.719213,0.339823,0.0639932,0.186405,1.4432,8.37687,0.00278873,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12025,0.00819082,1.51056,19.4073,0.0203007,3.74389
