Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.9614,0,1.81752,0.00104529,0.0727758,0,0.111504,8.39379e-06,0.115947,0,1.23285,0.00103825,0.0183299,0,0.0876581,8.3043e-06,, , 0.0678451,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00103825,0.000987789,0.0134971,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.3043e-06,0.0585562
2,15.1249,15.1824,11.342,0.0106761,0.500719,0.504494,3.47522,0.00131358,3.68422,3.74172,9.61551,0.0103626,0.174894,0.178669,2.60678,8.16369e-05,, , 0.533319,6.59864,0.293982,15.1163,9.97854,9.61551,0.0103626,0.0155217,0.205464,0.129148,0.0189501,0.00853657,0.640836,2.60678,8.16369e-05,0.920125
3,4.20553,4.23064,7.2757,0.0212631,0.174114,0.175539,2.86639,0.00114336,0.891348,0.916453,6.41753,0.020636,0.0704711,0.0718965,1.13686,0.000141073,, , 0.229997,1.44982,0.127988,5.23262,3.22802,6.41753,0.020636,0.0293457,0.0922982,0.0417726,0.00829677,0.00755516,0.204585,1.13686,0.000141073,1.73961
4,6.18285,6.23953,7.76628,0.042267,0.280337,0.284396,5.56198,0.0011324,1.10886,1.16553,6.41546,0.0410129,0.137827,0.141886,2.10396,0.000275713,, , 0.476657,1.54823,0.249511,8.74862,4.69842,6.41546,0.0410129,0.0584488,0.187211,0.0761984,0.0163032,0.0118465,0.284231,2.10396,0.000275713,3.46485
5,1.53288,1.55374,7.03639,0.0835349,0.0886471,0.090287,7.6476,0.00105935,0.277179,0.298036,5.50057,0.0810268,0.0490912,0.0507311,0.733768,0.000500126,, , 0.176457,0.307138,0.0916197,6.2831,1.66068,5.50057,0.0810268,0.116473,0.0698432,0.024022,0.00595701,0.017688,0.0855392,0.733768,0.000500126,6.90454
6,2.44983,2.49385,8.43871,0.168295,0.151285,0.154801,15.2594,0.00102801,0.453098,0.497126,5.50133,0.163279,0.0972757,0.100792,1.432,0.000909825,, , 0.359705,0.409594,0.180924,11.9572,2.76674,5.50133,0.163279,0.232886,0.13944,0.0467762,0.011852,0.0313899,0.125166,1.432,0.000909825,13.8055
7,0.470089,0.471231,9.57555,0.161692,0.029538,0.0298571,49.3644,0.00023226,0.385852,0.386994,0.013054,0.144608,0.0162123,0.0165313,0.201692,1.5036e-05,, , 0.0100623,0.757676,0.00510665,12.0326,0.287429,0.013054,0.144608,0.827824,0.0132324,0.0183357,0.00117556,0.107445,0.0520212,0.201692,1.5036e-05,49.0734
8,0.0286189,0.0287554,0.018059,0.000655431,0.000539284,0.000545316,0.0602466,3.42964e-07,0.00198283,0.00211934,0.00208809,0.000634576,8.74309e-05,9.34625e-05,0.000227485,7.77971e-08,, , 0.00126845,0.00218914,0.000644581,0.0803593,0.0212412,0.00208809,0.000634576,0.00101147,7.3666e-05,8.89254e-05,1.83019e-05,0.000321226,0.00074128,0.000227485,7.77971e-08,0.0599602
Total,37.9561,30.2002,53.2702,0.489429,1.29795,1.23992,84.3467,0.00591769,6.91848,7.00798,34.6984,0.462598,0.564188,0.560599,8.30294,0.00193179,, , 1.85531,11.0806,0.990543,66.3248,24.208,34.6984,0.462598,1.2825,0.72106,0.339823,0.0639042,0.186405,1.4432,8.30294,0.00193179,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12205,0.00820237,1.51269,19.5576,0.0203718,3.75699
