Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96159,0,1.81752,0.000745028,0.0728136,0,0.111504,5.29179e-06,0.116138,0,1.23285,0.00073799,0.0183677,0,0.0876581,5.20229e-06,, , 0.0680358,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00073799,0.000987789,0.013535,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.20229e-06,0.0585562
2,15.1252,15.1827,11.3424,0.00380082,0.502756,0.506362,3.50292,1.43731e-05,3.68451,3.74201,9.61585,0.00348731,0.17693,0.180537,2.63448,4.36641e-07,, , 0.533905,6.59864,0.293982,15.1163,9.97854,9.61585,0.00348731,0.0155217,0.209334,0.129148,0.018985,0.00853657,0.640836,2.63448,4.36641e-07,0.920125
3,4.20457,4.22968,7.27789,0.00530647,0.174528,0.175411,2.95081,1.86661e-05,0.890387,0.915492,6.41973,0.00467945,0.0708851,0.0717681,1.22128,4.86556e-07,, , 0.228074,1.44982,0.127988,5.23262,3.22802,6.41973,0.00467945,0.0293457,0.0924716,0.0417726,0.00840897,0.00755516,0.204585,1.22128,4.86556e-07,1.73961
4,6.17842,6.23509,7.76744,0.00433326,0.280323,0.283805,5.65856,3.09682e-05,1.10443,1.1611,6.41663,0.0030792,0.137813,0.141295,2.20055,3.5525e-07,, , 0.467788,1.54823,0.249511,8.74862,4.69842,6.41663,0.0030792,0.0584488,0.186486,0.0761984,0.0164224,0.0118465,0.284231,2.20055,3.5525e-07,3.46485
5,1.53113,1.55199,7.03715,0.00600332,0.0881927,0.0896447,7.66537,5.9996e-05,0.275427,0.296284,5.50133,0.00349522,0.0486367,0.0500887,0.751535,4.50752e-07,, , 0.172953,0.307138,0.0916197,6.2831,1.66068,5.50133,0.00349522,0.116473,0.0687075,0.024022,0.00599589,0.017688,0.0855392,0.751535,4.50752e-07,6.90454
6,2.4463,2.49033,8.4394,0.0331212,0.1513,0.154474,15.3127,0.000121071,0.44957,0.493598,5.50203,0.028105,0.0972907,0.100465,1.4853,2.88208e-06,, , 0.352649,0.409594,0.180924,11.9572,2.76674,5.50203,0.028105,0.232886,0.139057,0.0467762,0.0119227,0.0313899,0.125166,1.4853,2.88208e-06,13.8055
7,0.470097,0.471239,9.57566,0.0348497,0.0297702,0.030061,49.3714,0.000219724,0.385859,0.387001,0.0131683,0.0177652,0.0164445,0.0167352,0.208698,2.4994e-06,, , 0.0100778,0.757676,0.00510665,12.0326,0.287429,0.0131683,0.0177652,0.827824,0.0136626,0.0183357,0.0011814,0.107445,0.0520212,0.208698,2.4994e-06,49.0734
8,0.0286208,0.0287573,0.0180826,7.01813e-05,0.000539387,0.000545327,0.0602488,2.80732e-07,0.00198481,0.00212131,0.0021117,4.93262e-05,8.75334e-05,9.34738e-05,0.000229628,1.5565e-08,, , 0.0012724,0.00218914,0.000644581,0.0803593,0.0212412,0.0021117,4.93262e-05,0.00101147,7.37611e-05,8.89254e-05,1.83208e-05,0.000321226,0.00074128,0.000229628,1.5565e-08,0.0599602
Total,37.9459,30.1898,53.2755,0.08823,1.30022,1.2403,84.6335,0.000470371,6.9083,6.99761,34.7037,0.0613987,0.566455,0.560982,8.58973,1.23285e-05,, , 1.83476,11.0806,0.990543,66.3248,24.208,34.7037,0.0613987,1.2825,0.723327,0.339823,0.064286,0.186405,1.4432,8.58973,1.23285e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11513,0.00823048,1.51788,18.9789,0.0205461,3.78914
