Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96142,0,1.81752,0.00102654,0.0727796,0,0.111504,8.82535e-06,0.115971,0,1.23285,0.0010195,0.0183337,0,0.0876581,8.73586e-06,, , 0.0678691,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.013501,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.73586e-06,0.0585562
2,15.1237,15.1813,11.3422,0.0108109,0.501197,0.504871,3.50291,0.000384252,3.68303,3.74053,9.61572,0.0104974,0.175371,0.179046,2.63447,2.35541e-05,, , 0.530945,6.59864,0.293982,15.1163,9.97854,9.61572,0.0104974,0.0155217,0.206298,0.129148,0.0189709,0.00853657,0.640836,2.63447,2.35541e-05,0.920125
3,4.20631,4.23141,7.27526,0.02172,0.174186,0.17572,2.85432,0.000887686,0.892124,0.917229,6.41709,0.0210929,0.0705436,0.0720771,1.12479,0.000109114,, , 0.231549,1.44982,0.127988,5.23262,3.22802,6.41709,0.0210929,0.0293457,0.0925737,0.0417726,0.00827442,0.00755516,0.204585,1.12479,0.000109114,1.73961
4,6.18133,6.238,7.76655,0.0412884,0.280236,0.284158,5.58613,0.000835166,1.10734,1.16401,6.41574,0.0400343,0.137726,0.141648,2.12811,0.000201405,, , 0.473615,1.54823,0.249511,8.74862,4.69842,6.41574,0.0400343,0.0584488,0.186844,0.0761984,0.0163313,0.0118465,0.284231,2.12811,0.000201405,3.46485
5,1.53161,1.55246,7.03737,0.0748821,0.088131,0.0895301,7.67425,0.000256368,0.275904,0.296761,5.50155,0.072374,0.048575,0.0499742,0.76041,9.86365e-05,, , 0.173907,0.307138,0.0916197,6.2831,1.66068,5.50155,0.072374,0.116473,0.0685204,0.024022,0.00600681,0.017688,0.0855392,0.76041,9.86365e-05,6.90454
6,2.44802,2.49205,8.43949,0.144693,0.151124,0.154252,15.3127,0.000246733,0.451295,0.495323,5.50212,0.139677,0.0971147,0.100243,1.4853,0.000128544,, , 0.356099,0.409594,0.180924,11.9572,2.76674,5.50212,0.139677,0.232886,0.138649,0.0467762,0.0119322,0.0313899,0.125166,1.4853,0.000128544,13.8055
7,0.470147,0.471289,9.57548,0.33326,0.0297956,0.0301309,49.3627,0.000267639,0.38591,0.387052,0.012988,0.316176,0.0164698,0.0168052,0.199938,5.0415e-05,, , 0.0101785,0.757676,0.00510665,12.0326,0.287429,0.012988,0.316176,0.827824,0.0137672,0.0183357,0.00117218,0.107445,0.0520212,0.199938,5.0415e-05,49.0734
8,0.0286164,0.0287529,0.0180474,0.00110821,0.000539258,0.000545334,0.0602466,3.87034e-07,0.00198036,0.00211687,0.00207656,0.00108736,8.74052e-05,9.34812e-05,0.000227484,1.21867e-07,, , 0.00126352,0.00218914,0.000644581,0.0803593,0.0212412,0.00207656,0.00108736,0.00101147,7.36683e-05,8.89254e-05,1.82927e-05,0.000321226,0.00074128,0.000227484,1.21867e-07,0.0599602
Total,37.9512,30.1952,53.272,0.628789,1.29799,1.23921,84.4647,0.00288706,6.91355,7.00303,34.7001,0.601958,0.564221,0.559887,8.4209,0.000620526,, , 1.84543,11.0806,0.990543,66.3248,24.208,34.7001,0.601958,1.2825,0.720228,0.339823,0.0640575,0.186405,1.4432,8.4209,0.000620526,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11926,0.00819355,1.51107,19.32,0.0203175,3.74698
