Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96135,0,1.81752,0.00102654,0.072767,0,0.111504,7.13108e-06,0.115906,0,1.23285,0.0010195,0.0183211,0,0.0876581,7.04158e-06,, , 0.0678037,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134884,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.04158e-06,0.0585562
2,15.125,15.1825,11.3421,0.0108089,0.500511,0.504253,3.47523,0.00114912,3.68428,3.74178,9.61558,0.0104954,0.174685,0.178427,2.60678,7.13585e-05,, , 0.53344,6.59864,0.293982,15.1163,9.97854,9.61558,0.0104954,0.0155217,0.205008,0.129148,0.0189569,0.00853657,0.640836,2.60678,7.13585e-05,0.920125
3,4.20676,4.23186,7.27535,0.021301,0.174093,0.175605,2.85432,0.00120953,0.892573,0.917677,6.41718,0.0206739,0.0704509,0.0719627,1.12479,0.000149344,, , 0.232446,1.44982,0.127988,5.23262,3.22802,6.41718,0.0206739,0.0293457,0.092362,0.0417726,0.00827891,0.00755516,0.204585,1.12479,0.000149344,1.73961
4,6.18331,6.23998,7.76633,0.042693,0.280106,0.284136,5.56198,0.000817891,1.10932,1.16599,6.41552,0.041439,0.137596,0.141626,2.10397,0.000197086,, , 0.477567,1.54823,0.249511,8.74862,4.69842,6.41552,0.041439,0.0584488,0.186714,0.0761984,0.016309,0.0118465,0.284231,2.10397,0.000197086,3.46485
5,1.53255,1.5534,7.03666,0.0865549,0.0885048,0.0900797,7.65649,0.00143161,0.276845,0.297701,5.50084,0.0840468,0.0489488,0.0505237,0.74265,0.000686257,, , 0.175789,0.307138,0.0916197,6.2831,1.66068,5.50084,0.0840468,0.116473,0.0694801,0.024022,0.00597045,0.017688,0.0855392,0.74265,0.000686257,6.90454
6,2.44971,2.49374,8.43886,0.164382,0.151534,0.154975,15.2771,0.000915006,0.452986,0.497014,5.50149,0.159366,0.0975247,0.100966,1.44977,0.000796818,, , 0.359481,0.409594,0.180924,11.9572,2.76674,5.50149,0.159366,0.232886,0.139847,0.0467762,0.0118676,0.0313899,0.125166,1.44977,0.000796818,13.8055
7,0.470103,0.471245,9.57551,0.237035,0.029643,0.0299708,49.3627,0.000242843,0.385865,0.387007,0.0130184,0.219951,0.0163172,0.0166451,0.199939,2.56185e-05,, , 0.0100895,0.757676,0.00510665,12.0326,0.287429,0.0130184,0.219951,0.827824,0.0134529,0.0183357,0.00117374,0.107445,0.0520212,0.199939,2.56185e-05,49.0734
8,0.0286227,0.0287592,0.018059,0.000838736,0.000539303,0.000545335,0.0602466,3.5757e-07,0.00198667,0.00212317,0.00208809,0.000817881,8.74504e-05,9.34819e-05,0.000227485,9.24038e-08,, , 0.00127612,0.00218914,0.000644581,0.0803593,0.0212412,0.00208809,0.000817881,0.00101147,7.3705e-05,8.89254e-05,1.83019e-05,0.000321226,0.00074128,0.000227485,9.24038e-08,0.0599602
Total,37.9574,30.2015,53.2704,0.56464,1.2977,1.23956,84.3596,0.00577349,6.91975,7.00929,34.6986,0.537809,0.563931,0.560244,8.31578,0.00193362,, , 1.85789,11.0806,0.990543,66.3248,24.208,34.6986,0.537809,1.2825,0.720426,0.339823,0.0639263,0.186405,1.4432,8.31578,0.00193362,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12175,0.00819713,1.51173,19.5323,0.0203395,3.75104
