Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96137,0,1.81752,0.00102654,0.0727702,0,0.111504,4.75076e-06,0.115921,0,1.23285,0.0010195,0.0183243,0,0.0876581,4.66127e-06,, , 0.0678188,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134916,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,4.66127e-06,0.0585562
2,15.1243,15.1818,11.3421,0.0104383,0.500687,0.504432,3.47523,0.000861182,3.68363,3.74113,9.61557,0.0101248,0.174861,0.178607,2.60678,5.33622e-05,, , 0.532138,6.59864,0.293982,15.1163,9.97854,9.61557,0.0101248,0.0155217,0.205364,0.129148,0.0189563,0.00853657,0.640836,2.60678,5.33622e-05,0.920125
3,4.20577,4.23088,7.27572,0.0218173,0.174202,0.175624,2.86639,0.00177449,0.891588,0.916692,6.41755,0.0211902,0.0705598,0.071981,1.13686,0.000219965,, , 0.230476,1.44982,0.127988,5.23262,3.22802,6.41755,0.0211902,0.0293457,0.0924705,0.0417726,0.00829764,0.00755516,0.204585,1.13686,0.000219965,1.73961
4,6.1826,6.23927,7.76645,0.042886,0.280417,0.28439,5.58612,0.00142029,1.10861,1.16528,6.41563,0.0416319,0.137907,0.141879,2.12811,0.000347686,, , 0.476153,1.54823,0.249511,8.74862,4.69842,6.41563,0.0416319,0.0584488,0.187267,0.0761984,0.0163209,0.0118465,0.284231,2.12811,0.000347686,3.46485
5,1.53168,1.55253,7.0371,0.086389,0.0882083,0.0896732,7.66537,0.000822598,0.275975,0.296831,5.50128,0.0838809,0.0486523,0.0501172,0.751533,0.000381752,, , 0.174048,0.307138,0.0916197,6.2831,1.66068,5.50128,0.0838809,0.116473,0.0687543,0.024022,0.00599322,0.017688,0.0855392,0.751533,0.000381752,6.90454
6,2.44748,2.49151,8.43955,0.161355,0.15115,0.15425,15.3127,0.000697112,0.450752,0.494779,5.50218,0.156339,0.0971411,0.100241,1.48531,0.000578923,, , 0.355012,0.409594,0.180924,11.9572,2.76674,5.50218,0.156339,0.232886,0.138668,0.0467762,0.0119381,0.0313899,0.125166,1.48531,0.000578923,13.8055
7,0.470139,0.471281,9.57548,0.337662,0.0297899,0.0301265,49.3609,0.000267489,0.385901,0.387043,0.0129829,0.320578,0.0164642,0.0168008,0.198186,5.0265e-05,, , 0.010161,0.757676,0.00510665,12.0326,0.287429,0.0129829,0.320578,0.827824,0.0137574,0.0183357,0.00117192,0.107445,0.0520212,0.198186,5.0265e-05,49.0734
8,0.0286149,0.0287514,0.0180705,0.00121624,0.000539286,0.000545273,0.0602488,4.03669e-07,0.00197888,0.00211539,0.00209962,0.00119539,8.74329e-05,9.34199e-05,0.000229628,1.38503e-07,, , 0.00126055,0.00218914,0.000644581,0.0803593,0.0212412,0.00209962,0.00119539,0.00101147,7.36162e-05,8.89254e-05,1.83111e-05,0.000321226,0.00074128,0.000229628,1.38503e-07,0.0599602
Total,37.952,30.1961,53.272,0.662791,1.29776,1.23904,84.4385,0.00584832,6.91435,7.00388,34.7001,0.635959,0.563997,0.559719,8.39466,0.00163675,, , 1.84707,11.0806,0.990543,66.3248,24.208,34.7001,0.635959,1.2825,0.719846,0.339823,0.0640477,0.186405,1.4432,8.39466,0.00163675,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11984,0.00819116,1.51062,19.372,0.0203028,3.74427
