Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96139,0,1.81752,0.00102654,0.072775,0,0.111504,6.11585e-06,0.115946,0,1.23285,0.0010195,0.018329,0,0.0876581,6.02636e-06,, , 0.0678435,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134963,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.02636e-06,0.0585562
2,15.1251,15.1826,11.3422,0.0109051,0.501028,0.504733,3.50291,0.00155275,3.68439,3.7419,9.61565,0.0105916,0.175203,0.178908,2.63446,9.6585e-05,, , 0.53367,6.59864,0.293982,15.1163,9.97854,9.61565,0.0105916,0.0155217,0.205998,0.129148,0.0189646,0.00853657,0.640836,2.63446,9.6585e-05,0.920125
3,4.20594,4.23105,7.27579,0.021972,0.17417,0.175573,2.87844,0.000319574,0.891759,0.916863,6.41762,0.0213449,0.0705273,0.0719301,1.14891,3.81e-05,, , 0.230817,1.44982,0.127988,5.23262,3.22802,6.41762,0.0213449,0.0293457,0.0923834,0.0417726,0.00830146,0.00755516,0.204585,1.14891,3.81e-05,1.73961
4,6.18106,6.23774,7.76681,0.0404532,0.280205,0.284,5.61028,0.000509235,1.10707,1.16375,6.41599,0.0391991,0.137695,0.14149,2.15226,0.000119922,, , 0.47308,1.54823,0.249511,8.74862,4.69842,6.41599,0.0391991,0.0584488,0.186629,0.0761984,0.0163577,0.0118465,0.284231,2.15226,0.000119922,3.46485
5,1.53279,1.55364,7.03679,0.0849123,0.0884343,0.0899763,7.65649,0.00129703,0.277085,0.297941,5.50097,0.0824042,0.0488783,0.0504203,0.742653,0.000618969,, , 0.176268,0.307138,0.0916197,6.2831,1.66068,5.50097,0.0824042,0.116473,0.0692994,0.024022,0.00597725,0.017688,0.0855392,0.742653,0.000618969,6.90454
6,2.44808,2.49211,8.43897,0.167045,0.15157,0.154956,15.2772,0.00110054,0.451349,0.495376,5.5016,0.162029,0.0975608,0.100947,1.44977,0.000982348,, , 0.356207,0.409594,0.180924,11.9572,2.76674,5.5016,0.162029,0.232886,0.139853,0.0467762,0.0118789,0.0313899,0.125166,1.44977,0.000982348,13.8055
7,0.470113,0.471255,9.57554,0.210177,0.029729,0.0300514,49.3644,0.000238757,0.385875,0.387017,0.0130403,0.193092,0.0164032,0.0167257,0.201691,2.15328e-05,, , 0.0101087,0.757676,0.00510665,12.0326,0.287429,0.0130403,0.193092,0.827824,0.0136184,0.0183357,0.00117486,0.107445,0.0520212,0.201691,2.15328e-05,49.0734
8,0.028612,0.0287485,0.0180952,0.000542777,0.000539344,0.000545236,0.0602488,3.26092e-07,0.001976,0.00211251,0.00212433,0.000521922,8.74911e-05,9.33827e-05,0.000229629,6.09259e-08,, , 0.0012548,0.00218914,0.000644581,0.0803593,0.0212412,0.00212433,0.000521922,0.00101147,7.36175e-05,8.89254e-05,1.83308e-05,0.000321226,0.00074128,0.000229629,6.09259e-08,0.0599602
Total,37.9531,30.1972,53.2717,0.537034,1.29845,1.23983,84.4614,0.00502432,6.91545,7.00495,34.6999,0.510202,0.564684,0.560514,8.41764,0.00188354,, , 1.84925,11.0806,0.990543,66.3248,24.208,34.6999,0.510202,1.2825,0.721351,0.339823,0.0640245,0.186405,1.4432,8.41764,0.00188354,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11926,0.00819948,1.51216,19.3218,0.020354,3.75371
