Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96136,0,1.81752,0.00107029,0.0727678,0,0.111504,9.79406e-06,0.11591,0,1.23285,0.00106325,0.0183219,0,0.0876581,9.70457e-06,, , 0.0678074,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00106325,0.000987789,0.0134892,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,9.70457e-06,0.0585562
2,15.1248,15.1823,11.3421,0.0106779,0.50043,0.504185,3.47522,0.000153246,3.68405,3.74155,9.61555,0.0103644,0.174604,0.178359,2.60678,9.11617e-06,, , 0.53298,6.59864,0.293982,15.1163,9.97854,9.61555,0.0103644,0.0155217,0.204861,0.129148,0.0189544,0.00853657,0.640836,2.60678,9.11617e-06,0.920125
3,4.20591,4.23102,7.27589,0.0217243,0.174097,0.175477,2.87845,0.00059624,0.891728,0.916833,6.41772,0.0210972,0.0704543,0.071834,1.14892,7.26833e-05,, , 0.230756,1.44982,0.127988,5.23262,3.22802,6.41772,0.0210972,0.0293457,0.0922095,0.0417726,0.00830624,0.00755516,0.204585,1.14892,7.26833e-05,1.73961
4,6.18266,6.23933,7.76637,0.0413264,0.280285,0.284298,5.56199,0.000976921,1.10866,1.16534,6.41555,0.0400723,0.137775,0.141788,2.10397,0.000236843,, , 0.476266,1.54823,0.249511,8.74862,4.69842,6.41555,0.0400723,0.0584488,0.187052,0.0761984,0.0163125,0.0118465,0.284231,2.10397,0.000236843,3.46485
5,1.53396,1.55482,7.0363,0.0859376,0.088685,0.0903472,7.6476,0.00150972,0.278261,0.299117,5.50048,0.0834295,0.049129,0.0507913,0.733766,0.000725315,, , 0.17862,0.307138,0.0916197,6.2831,1.66068,5.50048,0.0834295,0.116473,0.0699459,0.024022,0.0059524,0.017688,0.0855392,0.733766,0.000725315,6.90454
6,2.44805,2.49208,8.43892,0.143284,0.151214,0.154626,15.2772,0.000206727,0.451324,0.495351,5.50155,0.138267,0.097205,0.100617,1.44977,8.85382e-05,, , 0.356156,0.409594,0.180924,11.9572,2.76674,5.50155,0.138267,0.232886,0.139172,0.0467762,0.0118736,0.0313899,0.125166,1.44977,8.85382e-05,13.8055
7,0.47008,0.471222,9.57552,0.185893,0.0295267,0.0298523,49.3644,0.000235212,0.385842,0.386984,0.0130276,0.168808,0.016201,0.0165266,0.201691,1.79874e-05,, , 0.0100437,0.757676,0.00510665,12.0326,0.287429,0.0130276,0.168808,0.827824,0.0132178,0.0183357,0.00117421,0.107445,0.0520212,0.201691,1.79874e-05,49.0734
8,0.0286159,0.0287524,0.0180782,0.00100629,0.000539307,0.000545265,0.0602488,3.86374e-07,0.00197992,0.00211642,0.00210731,0.000985437,8.74542e-05,9.34115e-05,0.000229628,1.21207e-07,, , 0.00126262,0.00218914,0.000644581,0.0803593,0.0212412,0.00210731,0.000985437,0.00101147,7.3623e-05,8.89254e-05,1.83172e-05,0.000321226,0.00074128,0.000229628,1.21207e-07,0.0599602
Total,37.9554,30.1995,53.2707,0.490919,1.29754,1.23933,84.3766,0.00368825,6.91775,7.00729,34.6988,0.464088,0.563778,0.560009,8.33278,0.00116031,, , 1.85389,11.0806,0.990543,66.3248,24.208,34.6988,0.464088,1.2825,0.720021,0.339823,0.0639429,0.186405,1.4432,8.33278,0.00116031,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.1214,0.00820234,1.51269,19.4995,0.0203716,3.75696
