Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96137,0,1.81752,0.00103279,0.0727697,0,0.111504,6.80507e-06,0.115921,0,1.23285,0.00102575,0.0183238,0,0.0876581,6.71557e-06,, , 0.0678188,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00102575,0.000987789,0.0134911,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.71557e-06,0.0585562
2,15.1246,15.1821,11.3421,0.0108778,0.500484,0.504211,3.47523,0.00110047,3.68384,3.74134,9.61561,0.0105643,0.174659,0.178385,2.60678,6.83178e-05,, , 0.532561,6.59864,0.293982,15.1163,9.97854,9.61561,0.0105643,0.0155217,0.204936,0.129148,0.0189601,0.00853657,0.640836,2.60678,6.83178e-05,0.920125
3,4.20644,4.23154,7.27518,0.0220882,0.17416,0.175714,2.85431,5.07115e-05,0.892251,0.917356,6.41701,0.0214612,0.0705169,0.0720714,1.12478,4.49223e-06,, , 0.231803,1.44982,0.127988,5.23262,3.22802,6.41701,0.0214612,0.0293457,0.0925457,0.0417726,0.00827009,0.00755516,0.204585,1.12478,4.49223e-06,1.73961
4,6.18138,6.23806,7.76643,0.0356573,0.279747,0.283729,5.58612,0.000126008,1.10739,1.16406,6.41561,0.0344033,0.137237,0.141219,2.12811,2.41151e-05,, , 0.473717,1.54823,0.249511,8.74862,4.69842,6.41561,0.0344033,0.0584488,0.185938,0.0761984,0.0163189,0.0118465,0.284231,2.12811,2.41151e-05,3.46485
5,1.53166,1.55252,7.03711,0.0854941,0.0882112,0.0896744,7.66537,0.00127244,0.275961,0.296817,5.50129,0.082986,0.0486552,0.0501185,0.751533,0.000606674,, , 0.17402,0.307138,0.0916197,6.2831,1.66068,5.50129,0.082986,0.116473,0.0687581,0.024022,0.00599355,0.017688,0.0855392,0.751533,0.000606674,6.90454
6,2.44641,2.49044,8.43957,0.170473,0.151052,0.15414,15.3127,0.0014244,0.449682,0.49371,5.5022,0.165457,0.0970434,0.100131,1.48531,0.00130621,, , 0.352873,0.409594,0.180924,11.9572,2.76674,5.5022,0.165457,0.232886,0.138458,0.0467762,0.0119406,0.0313899,0.125166,1.48531,0.00130621,13.8055
7,0.470061,0.471203,9.57551,0.311087,0.0298076,0.0301365,49.3627,0.000259533,0.385824,0.386966,0.0130139,0.294002,0.0164819,0.0168108,0.199939,4.2309e-05,, , 0.0100062,0.757676,0.00510665,12.0326,0.287429,0.0130139,0.294002,0.827824,0.0137835,0.0183357,0.00117351,0.107445,0.0520212,0.199939,4.2309e-05,49.0734
8,0.0286127,0.0287492,0.0180507,0.000738503,0.000539237,0.0005453,0.0602466,3.41997e-07,0.00197669,0.00211319,0.00207985,0.000717648,8.73839e-05,9.34473e-05,0.000227484,7.68304e-08,, , 0.00125616,0.00218914,0.000644581,0.0803593,0.0212412,0.00207985,0.000717648,0.00101147,7.36104e-05,8.89254e-05,1.82953e-05,0.000321226,0.00074128,0.000227484,7.68304e-08,0.0599602
Total,37.9505,30.1946,53.2715,0.637448,1.29677,1.23815,84.4281,0.00424071,6.91284,7.00237,34.6997,0.610617,0.563004,0.558829,8.38434,0.00205891,, , 1.84406,11.0806,0.990543,66.3248,24.208,34.6997,0.610617,1.2825,0.717984,0.339823,0.0640265,0.186405,1.4432,8.38434,0.00205891,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12017,0.00819309,1.51098,19.396,0.0203147,3.74646
