Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96136,0,1.81752,0.00103904,0.0727691,0,0.111504,1.27305e-05,0.115913,0,1.23285,0.001032,0.0183232,0,0.0876581,1.2641e-05,, , 0.0678105,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.001032,0.000987789,0.0134905,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,1.2641e-05,0.0585562
2,15.125,15.1825,11.3419,0.0109769,0.500386,0.504209,3.47521,0.000501742,3.68425,3.74176,9.61541,0.0106634,0.17456,0.178383,2.60677,3.08972e-05,, , 0.533398,6.59864,0.293982,15.1163,9.97854,9.61541,0.0106634,0.0155217,0.204855,0.129148,0.0189402,0.00853657,0.640836,2.60677,3.08972e-05,0.920125
3,4.20559,4.23069,7.27597,0.0219336,0.174096,0.175455,2.87845,0.000606476,0.891399,0.916504,6.4178,0.0213066,0.070453,0.0718122,1.14892,7.39628e-05,, , 0.230099,1.44982,0.127988,5.23262,3.22802,6.4178,0.0213066,0.0293457,0.0921822,0.0417726,0.00831047,0.00755516,0.204585,1.14892,7.39628e-05,1.73961
4,6.1844,6.24108,7.76626,0.0424791,0.280531,0.284597,5.56198,0.00119043,1.11041,1.16709,6.41545,0.041225,0.138021,0.142086,2.10396,0.000290222,, , 0.479763,1.54823,0.249511,8.74862,4.69842,6.41545,0.041225,0.0584488,0.187608,0.0761984,0.0163017,0.0118465,0.284231,2.10396,0.000290222,3.46485
5,1.5338,1.55466,7.03631,0.0857252,0.0887007,0.090362,7.6476,0.00133441,0.278098,0.298954,5.50049,0.0832171,0.0491447,0.0508061,0.733766,0.000637658,, , 0.178294,0.307138,0.0916197,6.2831,1.66068,5.50049,0.0832171,0.116473,0.0699762,0.024022,0.00595258,0.017688,0.0855392,0.733766,0.000637658,6.90454
6,2.44912,2.49315,8.43881,0.1636,0.150669,0.154133,15.2771,0.000751198,0.452393,0.49642,5.50144,0.158584,0.09666,0.100124,1.44976,0.000633009,, , 0.358294,0.409594,0.180924,11.9572,2.76674,5.50144,0.158584,0.232886,0.138145,0.0467762,0.0118628,0.0313899,0.125166,1.44976,0.000633009,13.8055
7,0.470121,0.471264,9.57551,0.238744,0.0296876,0.0300154,49.3627,0.000243031,0.385884,0.387026,0.0130184,0.221659,0.0163619,0.0166897,0.199939,2.58065e-05,, , 0.0101265,0.757676,0.00510665,12.0326,0.287429,0.0130184,0.221659,0.827824,0.0135421,0.0183357,0.00117374,0.107445,0.0520212,0.199939,2.58065e-05,49.0734
8,0.0286173,0.0287538,0.0180634,0.000747906,0.0005393,0.000545315,0.0602466,3.61113e-07,0.00198126,0.00211776,0.00209248,0.00072705,8.74472e-05,9.34617e-05,0.000227485,9.59468e-08,, , 0.0012653,0.00218914,0.000644581,0.0803593,0.0212412,0.00209248,0.00072705,0.00101147,7.36781e-05,8.89254e-05,1.83054e-05,0.000321226,0.00074128,0.000227485,9.59468e-08,0.0599602
Total,37.958,30.2021,53.2704,0.565245,1.29738,1.23932,84.3748,0.00464038,6.92034,7.00987,34.6986,0.538414,0.563611,0.559995,8.33101,0.00170429,, , 1.85905,11.0806,0.990543,66.3248,24.208,34.6986,0.538414,1.2825,0.719872,0.339823,0.0639111,0.186405,1.4432,8.33101,0.00170429,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12142,0.00819701,1.5117,19.5025,0.0203388,3.7509
