Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96141,0,1.81752,0.00101404,0.0727777,0,0.111504,5.72202e-06,0.115959,0,1.23285,0.001007,0.0183318,0,0.0876581,5.63253e-06,, , 0.0678571,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.001007,0.000987789,0.0134991,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.63253e-06,0.0585562
2,15.1246,15.1821,11.3421,0.010997,0.501253,0.505009,3.47522,0.000402836,3.68388,3.74138,9.61555,0.0106835,0.175428,0.179183,2.60678,2.47156e-05,, , 0.53264,6.59864,0.293982,15.1163,9.97854,9.61555,0.0106835,0.0155217,0.206509,0.129148,0.0189541,0.00853657,0.640836,2.60678,2.47156e-05,0.920125
3,4.20562,4.23072,7.27571,0.0204796,0.174129,0.175552,2.86639,0.000628774,0.891433,0.916538,6.41754,0.0198525,0.0704866,0.0719098,1.13686,7.67501e-05,, , 0.230166,1.44982,0.127988,5.23262,3.22802,6.41754,0.0198525,0.0293457,0.0923266,0.0417726,0.00829722,0.00755516,0.204585,1.13686,7.67501e-05,1.73961
4,6.18223,6.2389,7.76652,0.0380381,0.280536,0.284474,5.58613,0.000225225,1.10824,1.16491,6.4157,0.036784,0.138026,0.141964,2.12811,4.89194e-05,, , 0.475414,1.54823,0.249511,8.74862,4.69842,6.4157,0.036784,0.0584488,0.187464,0.0761984,0.016328,0.0118465,0.284231,2.12811,4.89194e-05,3.46485
5,1.53362,1.55448,7.0363,0.083478,0.0887504,0.0904137,7.6476,0.000984541,0.277915,0.298772,5.50048,0.0809699,0.0491945,0.0508578,0.733766,0.000462723,, , 0.177929,0.307138,0.0916197,6.2831,1.66068,5.50048,0.0809699,0.116473,0.070078,0.024022,0.00595218,0.017688,0.0855392,0.733766,0.000462723,6.90454
6,2.44897,2.493,8.43872,0.165258,0.151431,0.154941,15.2594,0.000943191,0.452245,0.496273,5.50135,0.160242,0.0974217,0.100932,1.432,0.000825002,, , 0.357999,0.409594,0.180924,11.9572,2.76674,5.50135,0.160242,0.232886,0.139724,0.0467762,0.0118533,0.0313899,0.125166,1.432,0.000825002,13.8055
7,0.470113,0.471255,9.57552,0.259557,0.0295869,0.0299125,49.3644,0.00024637,0.385875,0.387017,0.0130274,0.242472,0.0162612,0.0165868,0.201691,2.9146e-05,, , 0.0101094,0.757676,0.00510665,12.0326,0.287429,0.0130274,0.242472,0.827824,0.0133381,0.0183357,0.0011742,0.107445,0.0520212,0.201691,2.9146e-05,49.0734
8,0.0286186,0.0287551,0.0180601,0.000715011,0.000539301,0.000545328,0.0602466,3.47956e-07,0.00198255,0.00211905,0.00208919,0.000694156,8.7448e-05,9.34753e-05,0.000227485,8.27897e-08,, , 0.00126788,0.00218914,0.000644581,0.0803593,0.0212412,0.00208919,0.000694156,0.00101147,7.36951e-05,8.89254e-05,1.83028e-05,0.000321226,0.00074128,0.000227485,8.27897e-08,0.0599602
Total,37.9552,30.1992,53.2704,0.579537,1.299,1.24085,84.3709,0.00343701,6.91753,7.00701,34.6986,0.552705,0.565237,0.561527,8.32709,0.00147297,, , 1.85338,11.0806,0.990543,66.3248,24.208,34.6986,0.552705,1.2825,0.723012,0.339823,0.0639287,0.186405,1.4432,8.32709,0.00147297,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12147,0.00819643,1.5116,19.5045,0.0203352,3.75024
