Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96134,0,1.81752,0.00102654,0.0727638,0,0.111504,7.47109e-06,0.115888,0,1.23285,0.0010195,0.0183179,0,0.0876581,7.38159e-06,, , 0.0677858,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134852,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.38159e-06,0.0585562
2,15.1244,15.1819,11.3419,0.0110708,0.50065,0.5045,3.47521,0.000612035,3.68366,3.74116,9.61536,0.0107573,0.174825,0.178674,2.60676,3.77905e-05,, , 0.532204,6.59864,0.293982,15.1163,9.97854,9.61536,0.0107573,0.0155217,0.205416,0.129148,0.0189347,0.00853657,0.640836,2.60676,3.77905e-05,0.920125
3,4.20608,4.23119,7.27521,0.0215447,0.173978,0.175525,2.85432,0.000812728,0.891895,0.916999,6.41704,0.0209177,0.0703356,0.0718824,1.12478,9.97443e-05,, , 0.23109,1.44982,0.127988,5.23262,3.22802,6.41704,0.0209177,0.0293457,0.0921738,0.0417726,0.00827167,0.00755516,0.204585,1.12478,9.97443e-05,1.73961
4,6.18081,6.23748,7.76673,0.0430592,0.279353,0.283186,5.58614,0.00116994,1.10682,1.16349,6.41592,0.0418051,0.136843,0.140676,2.12813,0.000285099,, , 0.47257,1.54823,0.249511,8.74862,4.69842,6.41592,0.0418051,0.0584488,0.184971,0.0761984,0.0163498,0.0118465,0.284231,2.12813,0.000285099,3.46485
5,1.53249,1.55335,7.03741,0.0869811,0.0881014,0.0894894,7.67425,0.000701151,0.276786,0.297643,5.50159,0.084473,0.0485454,0.0499334,0.760411,0.000321028,, , 0.175671,0.307138,0.0916197,6.2831,1.66068,5.50159,0.084473,0.116473,0.0684477,0.024022,0.00600911,0.017688,0.0855392,0.760411,0.000321028,6.90454
6,2.44818,2.49221,8.43954,0.150171,0.151029,0.154133,15.3127,0.000308313,0.45145,0.495477,5.50217,0.145155,0.0970204,0.100124,1.48531,0.000190124,, , 0.356408,0.409594,0.180924,11.9572,2.76674,5.50217,0.145155,0.232886,0.138431,0.0467762,0.0119373,0.0313899,0.125166,1.48531,0.000190124,13.8055
7,0.470078,0.47122,9.57549,0.307418,0.0298128,0.0301455,49.3627,0.000258926,0.385841,0.386983,0.0129987,0.290334,0.0164871,0.0168198,0.199938,4.17013e-05,, , 0.0100404,0.757676,0.00510665,12.0326,0.287429,0.0129987,0.290334,0.827824,0.0137984,0.0183357,0.00117273,0.107445,0.0520212,0.199938,4.17013e-05,49.0734
8,0.0286227,0.0287592,0.018009,0.000970341,0.000539159,0.000545384,0.0602445,3.82053e-07,0.00198671,0.00212321,0.00203812,0.000949486,8.7306e-05,9.35305e-05,0.000225339,1.16887e-07,, , 0.0012762,0.00218914,0.000644581,0.0803593,0.0212412,0.00203812,0.000949486,0.00101147,7.36491e-05,8.89254e-05,1.8262e-05,0.000321226,0.00074128,0.000225339,1.16887e-07,0.0599602
Total,37.952,30.1961,53.2718,0.622242,1.29623,1.23752,84.437,0.00387095,6.91432,7.00388,34.7,0.595411,0.562461,0.558204,8.39321,0.000982986,, , 1.84705,11.0806,0.990543,66.3248,24.208,34.7,0.595411,1.2825,0.716797,0.339823,0.0640449,0.186405,1.4432,8.39321,0.000982986,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11999,0.00819389,1.51113,19.3825,0.0203196,3.74737
