Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96136,0,1.81752,0.00102654,0.0727694,0,0.111504,6.79503e-06,0.115917,0,1.23285,0.0010195,0.0183235,0,0.0876581,6.70553e-06,, , 0.0678147,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134908,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.70553e-06,0.0585562
2,15.1252,15.1827,11.3419,0.010429,0.500841,0.5047,3.47521,0.000935853,3.68443,3.74194,9.61534,0.0101155,0.175016,0.178874,2.60676,5.80292e-05,, , 0.533757,6.59864,0.293982,15.1163,9.97854,9.61534,0.0101155,0.0155217,0.205809,0.129148,0.0189329,0.00853657,0.640836,2.60676,5.80292e-05,0.920125
3,4.20549,4.2306,7.27587,0.0211491,0.174203,0.175587,2.87845,0.000769757,0.891306,0.916411,6.4177,0.0205221,0.0705601,0.0719444,1.14892,9.43729e-05,, , 0.229913,1.44982,0.127988,5.23262,3.22802,6.4177,0.0205221,0.0293457,0.0924266,0.0417726,0.00830528,0.00755516,0.204585,1.14892,9.43729e-05,1.73961
4,6.18218,6.23885,7.76626,0.0434714,0.280141,0.284207,5.56198,0.00123861,1.10819,1.16486,6.41544,0.0422174,0.13763,0.141697,2.10396,0.000302265,, , 0.475316,1.54823,0.249511,8.74862,4.69842,6.41544,0.0422174,0.0584488,0.186827,0.0761984,0.0163015,0.0118465,0.284231,2.10396,0.000302265,3.46485
5,1.53221,1.55306,7.03709,0.0851079,0.0882388,0.0897057,7.66537,0.00141748,0.276503,0.29736,5.50127,0.0825998,0.0486829,0.0501497,0.751533,0.000679193,, , 0.175105,0.307138,0.0916197,6.2831,1.66068,5.50127,0.0825998,0.116473,0.0688178,0.024022,0.0059928,0.017688,0.0855392,0.751533,0.000679193,6.90454
6,2.44723,2.49126,8.43906,0.152257,0.151267,0.154609,15.2949,0.000302277,0.450499,0.494527,5.50169,0.147241,0.0972585,0.1006,1.46753,0.000184088,, , 0.354507,0.409594,0.180924,11.9572,2.76674,5.50169,0.147241,0.232886,0.139194,0.0467762,0.0118882,0.0313899,0.125166,1.46753,0.000184088,13.8055
7,0.470116,0.471258,9.57552,0.288054,0.0297536,0.0300789,49.3644,0.000252837,0.385878,0.38702,0.0130288,0.270969,0.0164279,0.0167532,0.201691,3.56126e-05,, , 0.0101152,0.757676,0.00510665,12.0326,0.287429,0.0130288,0.270969,0.827824,0.0136711,0.0183357,0.00117427,0.107445,0.0520212,0.201691,3.56126e-05,49.0734
8,0.0286199,0.0287564,0.0180694,0.0011693,0.000539321,0.000545313,0.0602488,3.97183e-07,0.0019839,0.00212041,0.00209852,0.00114844,8.74682e-05,9.34595e-05,0.000229628,1.32016e-07,, , 0.00127059,0.00218914,0.000644581,0.0803593,0.0212412,0.00209852,0.00114844,0.00101147,7.36921e-05,8.89254e-05,1.83102e-05,0.000321226,0.00074128,0.000229628,1.32016e-07,0.0599602
Total,37.9524,30.1964,53.2713,0.602664,1.29775,1.23943,84.4121,0.004924,6.91471,7.00424,34.6994,0.575833,0.563986,0.560111,8.36828,0.0013604,, , 1.8478,11.0806,0.990543,66.3248,24.208,34.6994,0.575833,1.2825,0.72031,0.339823,0.0639646,0.186405,1.4432,8.36828,0.0013604,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12049,0.00819519,1.51137,19.4256,0.0203276,3.74884
