Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96136,0,1.81752,0.00101404,0.0727683,0,0.111504,7.13465e-06,0.115909,0,1.23285,0.001007,0.0183224,0,0.0876581,7.04516e-06,, , 0.0678069,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.001007,0.000987789,0.0134897,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.04516e-06,0.0585562
2,15.1256,15.1831,11.3419,0.0105864,0.501084,0.504936,3.47521,0.000970021,3.6849,3.74241,9.61535,0.0102729,0.175258,0.179111,2.60676,6.01646e-05,, , 0.534697,6.59864,0.293982,15.1163,9.97854,9.61535,0.0102729,0.0155217,0.206287,0.129148,0.0189341,0.00853657,0.640836,2.60676,6.01646e-05,0.920125
3,4.2055,4.2306,7.27587,0.0211006,0.174112,0.175495,2.87845,0.00105348,0.891311,0.916416,6.4177,0.0204736,0.0704696,0.0718525,1.14892,0.000129838,, , 0.229923,1.44982,0.127988,5.23262,3.22802,6.4177,0.0204736,0.0293457,0.0922439,0.0417726,0.00830556,0.00755516,0.204585,1.14892,0.000129838,1.73961
4,6.18271,6.23939,7.76632,0.0424496,0.280115,0.284153,5.56198,0.00116527,1.10872,1.1654,6.4155,0.0411956,0.137605,0.141643,2.10397,0.00028393,, , 0.476379,1.54823,0.249511,8.74862,4.69842,6.4155,0.0411956,0.0584488,0.186743,0.0761984,0.0163074,0.0118465,0.284231,2.10397,0.00028393,3.46485
5,1.53306,1.55392,7.03641,0.0854905,0.0886262,0.0902611,7.6476,0.00141312,0.277358,0.298215,5.50059,0.0829824,0.0490702,0.0507051,0.733769,0.000677013,, , 0.176815,0.307138,0.0916197,6.2831,1.66068,5.50059,0.0829824,0.116473,0.0697953,0.024022,0.00595805,0.017688,0.0855392,0.733769,0.000677013,6.90454
6,2.44951,2.49354,8.4388,0.128509,0.151236,0.154706,15.2771,0.000164429,0.452781,0.496809,5.50143,0.123493,0.0972274,0.100697,1.44976,4.62404e-05,, , 0.359072,0.409594,0.180924,11.9572,2.76674,5.50143,0.123493,0.232886,0.139287,0.0467762,0.0118616,0.0313899,0.125166,1.44976,4.62404e-05,13.8055
7,0.47003,0.471172,9.5756,0.28501,0.0296135,0.0299206,49.3679,0.000251517,0.385793,0.386935,0.0131026,0.267925,0.0162878,0.0165949,0.205195,3.42929e-05,, , 0.00994426,0.757676,0.00510665,12.0326,0.287429,0.0131026,0.267925,0.827824,0.013369,0.0183357,0.00117804,0.107445,0.0520212,0.205195,3.42929e-05,49.0734
8,0.0286144,0.0287509,0.0180678,0.00110333,0.000539318,0.000545315,0.0602488,4.04278e-07,0.00197839,0.00211489,0.00209688,0.00108248,8.74647e-05,9.34623e-05,0.000229627,1.39111e-07,, , 0.00125957,0.00218914,0.000644581,0.0803593,0.0212412,0.00209688,0.00108248,0.00101147,7.36926e-05,8.89254e-05,1.83089e-05,0.000321226,0.00074128,0.000229627,1.39111e-07,0.0599602
Total,37.9564,30.2005,53.2705,0.575263,1.29809,1.24002,84.3801,0.00502537,6.91876,7.0083,34.6986,0.548432,0.564328,0.560697,8.33626,0.00123866,, , 1.8559,11.0806,0.990543,66.3248,24.208,34.6986,0.548432,1.2825,0.721288,0.339823,0.0639144,0.186405,1.4432,8.33626,0.00123866,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12125,0.00819654,1.51162,19.4897,0.0203359,3.75037
