Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96141,0,1.81752,0.00109529,0.0727773,0,0.111504,9.02518e-06,0.11596,0,1.23285,0.00108825,0.0183314,0,0.0876581,8.93569e-06,, , 0.0678578,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00108825,0.000987789,0.0134987,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.93569e-06,0.0585562
2,15.1247,15.1822,11.3422,0.0110402,0.501201,0.504888,3.50291,4.72776e-05,3.68401,3.74151,9.61569,0.0107267,0.175376,0.179063,2.63446,2.49318e-06,, , 0.5329,6.59864,0.293982,15.1163,9.97854,9.61569,0.0107267,0.0155217,0.206322,0.129148,0.0189683,0.00853657,0.640836,2.63446,2.49318e-06,0.920125
3,4.20602,4.23113,7.27548,0.0212637,0.174121,0.175601,2.86638,0.000806399,0.891834,0.916939,6.41731,0.0206366,0.0704782,0.0719581,1.13685,9.89531e-05,, , 0.230969,1.44982,0.127988,5.23262,3.22802,6.41731,0.0206366,0.0293457,0.0923783,0.0417726,0.00828551,0.00755516,0.204585,1.13685,9.89531e-05,1.73961
4,6.18256,6.23924,7.76642,0.0414544,0.28037,0.28436,5.56199,0.000845876,1.10857,1.16524,6.4156,0.0402004,0.13786,0.14185,2.10397,0.000204082,, , 0.476077,1.54823,0.249511,8.74862,4.69842,6.4156,0.0402004,0.0584488,0.187194,0.0761984,0.0163173,0.0118465,0.284231,2.10397,0.000204082,3.46485
5,1.53319,1.55405,7.03643,0.0866413,0.0886058,0.0902357,7.64761,0.00117849,0.277487,0.298344,5.50061,0.0841332,0.0490498,0.0506797,0.733769,0.0005597,, , 0.177073,0.307138,0.0916197,6.2831,1.66068,5.50061,0.0841332,0.116473,0.0697485,0.024022,0.00595908,0.017688,0.0855392,0.733769,0.0005597,6.90454
6,2.4487,2.49273,8.43868,0.166777,0.150927,0.154456,15.2594,0.00113685,0.451973,0.496001,5.50131,0.161761,0.0969185,0.100447,1.432,0.00101866,, , 0.357455,0.409594,0.180924,11.9572,2.76674,5.50131,0.161761,0.232886,0.138739,0.0467762,0.0118496,0.0313899,0.125166,1.432,0.00101866,13.8055
7,0.470109,0.471251,9.5755,0.275541,0.0295009,0.0298332,49.3627,0.000249185,0.385871,0.387013,0.0130007,0.258457,0.0161752,0.0165074,0.199938,3.1961e-05,, , 0.0101015,0.757676,0.00510665,12.0326,0.287429,0.0130007,0.258457,0.827824,0.0131742,0.0183357,0.00117283,0.107445,0.0520212,0.199938,3.1961e-05,49.0734
8,0.0286165,0.028753,0.0180474,0.000555267,0.000539236,0.000545313,0.0602466,3.29803e-07,0.00198048,0.00211698,0.00207656,0.000534412,8.73833e-05,9.34594e-05,0.000227484,6.4636e-08,, , 0.00126375,0.00218914,0.000644581,0.0803593,0.0212412,0.00207656,0.000534412,0.00101147,7.36246e-05,8.89254e-05,1.82927e-05,0.000321226,0.00074128,0.000227484,6.4636e-08,0.0599602
Total,37.9553,30.1994,53.2703,0.604368,1.29804,1.23992,84.3727,0.00427344,6.91768,7.00717,34.6985,0.577537,0.564276,0.560598,8.32888,0.00192485,, , 1.8537,11.0806,0.990543,66.3248,24.208,34.6985,0.577537,1.2825,0.721129,0.339823,0.0639222,0.186405,1.4432,8.32888,0.00192485,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12145,0.00819475,1.51129,19.5038,0.0203249,3.74834
