Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96155,0,1.81752,0.000776538,0.0728067,0,0.111504,7.39665e-06,0.116104,0,1.23285,0.000769499,0.0183608,0,0.0876581,7.30715e-06,, , 0.0680016,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.000769499,0.000987789,0.0135281,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.30715e-06,0.0585562
2,15.1257,15.1832,11.3424,0.00326489,0.502764,0.506361,3.50292,1.34038e-05,3.68497,3.74247,9.61587,0.00295138,0.176938,0.180535,2.63448,3.7606e-07,, , 0.534824,6.59864,0.293982,15.1163,9.97854,9.61587,0.00295138,0.0155217,0.209339,0.129148,0.0189869,0.00853657,0.640836,2.63448,3.7606e-07,0.920125
3,4.20446,4.22957,7.27802,0.00379132,0.174554,0.175406,2.96286,1.74245e-05,0.890277,0.915382,6.41985,0.0031643,0.0709112,0.0717631,1.23333,3.31355e-07,, , 0.227854,1.44982,0.127988,5.23262,3.22802,6.41985,0.0031643,0.0293457,0.0924863,0.0417726,0.00841538,0.00755516,0.204585,1.23333,3.31355e-07,1.73961
4,6.1791,6.23578,7.76741,0.00764619,0.280235,0.283736,5.65856,3.22468e-05,1.10511,1.16179,6.41659,0.00639213,0.137725,0.141225,2.20055,6.74897e-07,, , 0.469161,1.54823,0.249511,8.74862,4.69842,6.41659,0.00639213,0.0584488,0.186333,0.0761984,0.0164185,0.0118465,0.284231,2.20055,6.74897e-07,3.46485
5,1.531,1.55186,7.03721,0.0294062,0.0881923,0.0896294,7.66537,6.50915e-05,0.275297,0.296154,5.50139,0.0268981,0.0486363,0.0500735,0.751536,2.99849e-06,, , 0.172694,0.307138,0.0916197,6.2831,1.66068,5.50139,0.0268981,0.116473,0.0686888,0.024022,0.00599895,0.017688,0.0855392,0.751536,2.99849e-06,6.90454
6,2.44595,2.48997,8.43953,0.00855593,0.151124,0.154234,15.3127,0.000118745,0.449218,0.493246,5.50216,0.00353972,0.0971154,0.100225,1.48531,5.56427e-07,, , 0.351945,0.409594,0.180924,11.9572,2.76674,5.50216,0.00353972,0.232886,0.138628,0.0467762,0.0119361,0.0313899,0.125166,1.48531,5.56427e-07,13.8055
7,0.470051,0.471193,9.57569,0.0203016,0.0297101,0.0299945,49.3714,0.000218181,0.385813,0.386955,0.0131941,0.00321707,0.0163843,0.0166688,0.2087,9.56925e-07,, , 0.00998548,0.757676,0.00510665,12.0326,0.287429,0.0131941,0.00321707,0.827824,0.0135347,0.0183357,0.00118272,0.107445,0.0520212,0.2087,9.56925e-07,49.0734
8,0.02862,0.0287565,0.0180892,5.43011e-05,0.000539397,0.000545311,0.0602488,2.7769e-07,0.00198396,0.00212046,0.00211829,3.34459e-05,8.75434e-05,9.34583e-05,0.000229629,1.25232e-08,, , 0.0012707,0.00218914,0.000644581,0.0803593,0.0212412,0.00211829,3.34459e-05,0.00101147,7.37503e-05,8.89254e-05,1.8326e-05,0.000321226,0.00074128,0.000229629,1.25232e-08,0.0599602
Total,37.9464,30.1903,53.2759,0.073797,1.29993,1.23991,84.6456,0.000472768,6.90877,6.99812,34.704,0.0469656,0.566158,0.560584,8.60178,1.32138e-05,, , 1.83573,11.0806,0.990543,66.3248,24.208,34.704,0.0469656,1.2825,0.722612,0.339823,0.0643082,0.186405,1.4432,8.60178,1.32138e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11486,0.00823137,1.51804,18.9567,0.0205517,3.79016
