Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96155,0,1.81752,0.000782788,0.0728073,0,0.111504,4.8779e-06,0.116105,0,1.23285,0.000775749,0.0183614,0,0.0876581,4.7884e-06,, , 0.0680031,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.000775749,0.000987789,0.0135287,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,4.7884e-06,0.0585562
2,15.1248,15.1823,11.3423,0.00273932,0.502725,0.506377,3.50292,1.15343e-05,3.68411,3.74162,9.61576,0.0024258,0.1769,0.180551,2.63447,2.59215e-07,, , 0.533116,6.59864,0.293982,15.1163,9.97854,9.61576,0.0024258,0.0155217,0.209327,0.129148,0.0189757,0.00853657,0.640836,2.63447,2.59215e-07,0.920125
3,4.20461,4.22972,7.27803,0.00445907,0.174558,0.175407,2.96286,1.79858e-05,0.890427,0.915532,6.41986,0.00383204,0.070915,0.0717641,1.23333,4.01528e-07,, , 0.228154,1.44982,0.127988,5.23262,3.22802,6.41986,0.00383204,0.0293457,0.0924906,0.0417726,0.00841596,0.00755516,0.204585,1.23333,4.01528e-07,1.73961
4,6.17877,6.23544,7.76752,0.00974997,0.280195,0.283639,5.65857,3.30613e-05,1.10478,1.16145,6.4167,0.00849592,0.137685,0.141128,2.20055,8.78523e-07,, , 0.468489,1.54823,0.249511,8.74862,4.69842,6.4167,0.00849592,0.0584488,0.186185,0.0761984,0.0164304,0.0118465,0.284231,2.20055,8.78523e-07,3.46485
5,1.53084,1.5517,7.03715,0.017986,0.088218,0.089671,7.66537,6.22566e-05,0.275135,0.295992,5.50133,0.0154779,0.0486621,0.050115,0.751534,1.58104e-06,, , 0.172369,0.307138,0.0916197,6.2831,1.66068,5.50133,0.0154779,0.116473,0.0687594,0.024022,0.00599569,0.017688,0.0855392,0.751534,1.58104e-06,6.90454
6,2.44597,2.48999,8.43958,0.0424638,0.151035,0.154121,15.3127,0.000122184,0.449237,0.493265,5.5022,0.0374476,0.0970262,0.100112,1.48531,3.99483e-06,, , 0.351983,0.409594,0.180924,11.9572,2.76674,5.5022,0.0374476,0.232886,0.138422,0.0467762,0.0119409,0.0313899,0.125166,1.48531,3.99483e-06,13.8055
7,0.470059,0.471201,9.57571,0.0184979,0.0297195,0.0299987,49.3732,0.000217891,0.385821,0.386963,0.0132152,0.00141332,0.0163938,0.016673,0.21045,6.6644e-07,, , 0.0100009,0.757676,0.00510665,12.0326,0.287429,0.0132152,0.00141332,0.827824,0.0135474,0.0183357,0.0011838,0.107445,0.0520212,0.21045,6.6644e-07,49.0734
8,0.0286195,0.028756,0.0180853,4.62375e-05,0.00053937,0.0005453,0.0602488,2.75435e-07,0.00198348,0.00211998,0.00211445,2.53824e-05,8.75171e-05,9.34468e-05,0.000229628,1.02682e-08,, , 0.00126974,0.00218914,0.000644581,0.0803593,0.0212412,0.00211445,2.53824e-05,0.00101147,7.37155e-05,8.89254e-05,1.83229e-05,0.000321226,0.00074128,0.000229628,1.02682e-08,0.0599602
Total,37.9452,30.1891,53.2759,0.096725,1.2998,1.23976,84.6473,0.000470066,6.9076,6.99694,34.704,0.0698937,0.566031,0.560438,8.60353,1.25803e-05,, , 1.83339,11.0806,0.990543,66.3248,24.208,34.704,0.0698937,1.2825,0.722333,0.339823,0.0643121,0.186405,1.4432,8.60353,1.25803e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11482,0.00822998,1.51778,18.9539,0.020543,3.78856
