Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96132,0,1.81752,0.00102654,0.0727612,0,0.111504,8.15122e-06,0.115872,0,1.23285,0.0010195,0.0183152,0,0.0876581,8.06173e-06,, , 0.0677698,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134825,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.06173e-06,0.0585562
2,15.1252,15.1827,11.3418,0.0106413,0.500111,0.504013,3.44752,0.000912741,3.68451,3.74202,9.61526,0.0103278,0.174285,0.178187,2.57908,5.65847e-05,, , 0.533913,6.59864,0.293982,15.1163,9.97854,9.61526,0.0103278,0.0155217,0.2044,0.129148,0.0189239,0.00853657,0.640836,2.57908,5.65847e-05,0.920125
3,4.20575,4.23085,7.27567,0.0220616,0.174139,0.175572,2.86639,5.34202e-05,0.891563,0.916668,6.4175,0.0214346,0.0704967,0.0719297,1.13686,4.83082e-06,, , 0.230426,1.44982,0.127988,5.23262,3.22802,6.4175,0.0214346,0.0293457,0.0923586,0.0417726,0.00829521,0.00755516,0.204585,1.13686,4.83082e-06,1.73961
4,6.18163,6.2383,7.76649,0.03705,0.279647,0.2836,5.58613,0.000180018,1.10764,1.16431,6.41567,0.035796,0.137137,0.14109,2.12811,3.76176e-05,, , 0.474215,1.54823,0.249511,8.74862,4.69842,6.41567,0.035796,0.0584488,0.185703,0.0761984,0.016325,0.0118465,0.284231,2.12811,3.76176e-05,3.46485
5,1.53241,1.55326,7.03673,0.0818884,0.0884108,0.0899679,7.65649,0.000656397,0.276704,0.29756,5.50091,0.0793803,0.0488549,0.0504119,0.742651,0.000298651,, , 0.175506,0.307138,0.0916197,6.2831,1.66068,5.50091,0.0793803,0.116473,0.0692706,0.024022,0.00597415,0.017688,0.0855392,0.742651,0.000298651,6.90454
6,2.4476,2.49163,8.43901,0.16128,0.151356,0.154725,15.2772,0.000598875,0.450873,0.494901,5.50163,0.156263,0.0973474,0.100716,1.44977,0.000480686,, , 0.355256,0.409594,0.180924,11.9572,2.76674,5.50163,0.156263,0.232886,0.139404,0.0467762,0.0118826,0.0313899,0.125166,1.44977,0.000480686,13.8055
7,0.470131,0.471273,9.57548,0.277113,0.0296853,0.0300204,49.3627,0.000250051,0.385893,0.387035,0.0129891,0.260028,0.0163596,0.0166947,0.199938,3.2827e-05,, , 0.0101452,0.757676,0.00510665,12.0326,0.287429,0.0129891,0.260028,0.827824,0.0135464,0.0183357,0.00117224,0.107445,0.0520212,0.199938,3.2827e-05,49.0734
8,0.0286132,0.0287497,0.0180705,0.000893683,0.000539302,0.000545289,0.0602488,3.61381e-07,0.0019772,0.00211371,0.00209962,0.000872828,8.7449e-05,9.3436e-05,0.000229628,9.62148e-08,, , 0.00125719,0.00218914,0.000644581,0.0803593,0.0212412,0.00209962,0.000872828,0.00101147,7.36485e-05,8.89254e-05,1.83111e-05,0.000321226,0.00074128,0.000229628,9.62148e-08,0.0599602
Total,37.9527,30.1968,53.2708,0.591954,1.29665,1.23844,84.3681,0.00266002,6.91503,7.00461,34.6989,0.565123,0.562883,0.559122,8.32429,0.000919355,, , 1.84849,11.0806,0.990543,66.3248,24.208,34.6989,0.565123,1.2825,0.718239,0.339823,0.0639427,0.186405,1.4432,8.32429,0.000919355,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12167,0.0081959,1.5115,19.5212,0.0203319,3.74965
