Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96136,0,1.81752,0.00104529,0.0727688,0,0.111504,9.44192e-06,0.115913,0,1.23285,0.00103825,0.0183229,0,0.0876581,9.35243e-06,, , 0.067811,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00103825,0.000987789,0.0134902,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,9.35243e-06,0.0585562
2,15.1254,15.1829,11.342,0.0110736,0.500604,0.504377,3.47522,0.000413663,3.6847,3.7422,9.61552,0.0107601,0.174778,0.178551,2.60678,2.53923e-05,, , 0.534278,6.59864,0.293982,15.1163,9.97854,9.61552,0.0107601,0.0155217,0.20523,0.129148,0.0189506,0.00853657,0.640836,2.60678,2.53923e-05,0.920125
3,4.20571,4.23082,7.27591,0.0210064,0.174015,0.175388,2.87845,0.00111802,0.891526,0.916631,6.41774,0.0203794,0.0703726,0.0717458,1.14892,0.000137906,, , 0.230353,1.44982,0.127988,5.23262,3.22802,6.41774,0.0203794,0.0293457,0.0920383,0.0417726,0.00830756,0.00755516,0.204585,1.14892,0.000137906,1.73961
4,6.18229,6.23896,7.76646,0.0417806,0.280247,0.284217,5.58612,0.00113894,1.1083,1.16497,6.41564,0.0405266,0.137737,0.141707,2.12811,0.000277347,, , 0.475528,1.54823,0.249511,8.74862,4.69842,6.41564,0.0405266,0.0584488,0.186924,0.0761984,0.0163216,0.0118465,0.284231,2.12811,0.000277347,3.46485
5,1.5332,1.55405,7.03642,0.0860784,0.0886355,0.0902698,7.6476,0.00131835,0.277493,0.29835,5.5006,0.0835703,0.0490795,0.0507138,0.733769,0.000629627,, , 0.177086,0.307138,0.0916197,6.2831,1.66068,5.5006,0.0835703,0.116473,0.0698131,0.024022,0.00595818,0.017688,0.0855392,0.733769,0.000629627,6.90454
6,2.44759,2.49161,8.43897,0.164799,0.151457,0.154843,15.2772,0.000933329,0.450857,0.494884,5.5016,0.159783,0.0974479,0.100835,1.44977,0.00081514,, , 0.355222,0.409594,0.180924,11.9572,2.76674,5.5016,0.159783,0.232886,0.139628,0.0467762,0.0118788,0.0313899,0.125166,1.44977,0.00081514,13.8055
7,0.470139,0.471281,9.57553,0.261739,0.029662,0.0299858,49.3644,0.000247581,0.385901,0.387043,0.0130348,0.244655,0.0163363,0.0166601,0.201691,3.03563e-05,, , 0.0101612,0.757676,0.00510665,12.0326,0.287429,0.0130348,0.244655,0.827824,0.0134861,0.0183357,0.00117458,0.107445,0.0520212,0.201691,3.03563e-05,49.0734
8,0.0286176,0.0287541,0.0180859,0.00084822,0.000539359,0.000545287,0.0602488,3.61333e-07,0.0019816,0.0021181,0.002115,0.000827365,8.7506e-05,9.34336e-05,0.000229628,9.61665e-08,, , 0.00126598,0.00218914,0.000644581,0.0803593,0.0212412,0.002115,0.000827365,0.00101147,7.36908e-05,8.89254e-05,1.83234e-05,0.000321226,0.00074128,0.000229628,9.61665e-08,0.0599602
Total,37.9543,30.1984,53.2709,0.588371,1.29793,1.23963,84.4007,0.00517968,6.91666,7.0062,34.6991,0.561539,0.564162,0.560305,8.35692,0.00192522,, , 1.85171,11.0806,0.990543,66.3248,24.208,34.6991,0.561539,1.2825,0.720683,0.339823,0.0639609,0.186405,1.4432,8.35692,0.00192522,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12075,0.00819591,1.5115,19.4469,0.020332,3.74966
