Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.9614,0,1.81752,0.00102654,0.0727755,0,0.111504,6.11167e-06,0.115951,0,1.23285,0.0010195,0.0183296,0,0.0876581,6.02217e-06,, , 0.0678487,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134969,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.02217e-06,0.0585562
2,15.1249,15.1824,11.3423,0.010743,0.501476,0.505116,3.50292,0.00193473,3.68414,3.74165,9.61579,0.0104295,0.17565,0.17929,2.63447,0.000120459,, , 0.533169,6.59864,0.293982,15.1163,9.97854,9.61579,0.0104295,0.0155217,0.206815,0.129148,0.0189781,0.00853657,0.640836,2.63447,0.000120459,0.920125
3,4.20596,4.23106,7.27541,0.0214,0.174143,0.17564,2.86638,0.000906015,0.891771,0.916875,6.41724,0.0207729,0.0705006,0.0719977,1.13685,0.000111405,, , 0.230842,1.44982,0.127988,5.23262,3.22802,6.41724,0.0207729,0.0293457,0.0924437,0.0417726,0.00828195,0.00755516,0.204585,1.13685,0.000111405,1.73961
4,6.18176,6.23844,7.76677,0.0422691,0.280501,0.284318,5.61027,0.00109145,1.10777,1.16445,6.41595,0.041015,0.137991,0.141807,2.15226,0.000265475,, , 0.474482,1.54823,0.249511,8.74862,4.69842,6.41595,0.041015,0.0584488,0.187246,0.0761984,0.0163531,0.0118465,0.284231,2.15226,0.000265475,3.46485
5,1.53344,1.5543,7.03653,0.0778191,0.0885921,0.0901976,7.64761,0.000331473,0.277738,0.298594,5.50071,0.075311,0.0490361,0.0506417,0.733772,0.000136189,, , 0.177574,0.307138,0.0916197,6.2831,1.66068,5.50071,0.075311,0.116473,0.0696917,0.024022,0.00596411,0.017688,0.0855392,0.733772,0.000136189,6.90454
6,2.45004,2.49407,8.43897,0.132404,0.151545,0.154933,15.2772,0.000174433,0.453312,0.49734,5.50159,0.127388,0.0975363,0.100924,1.44977,5.62444e-05,, , 0.360133,0.409594,0.180924,11.9572,2.76674,5.50159,0.127388,0.232886,0.139806,0.0467762,0.0118786,0.0313899,0.125166,1.44977,5.62444e-05,13.8055
7,0.470089,0.471231,9.57554,0.196466,0.0297999,0.0301211,49.3644,0.000236724,0.385851,0.386993,0.0130455,0.179381,0.0164742,0.0167954,0.201692,1.94992e-05,, , 0.0100619,0.757676,0.00510665,12.0326,0.287429,0.0130455,0.179381,0.827824,0.0137588,0.0183357,0.00117512,0.107445,0.0520212,0.201692,1.94992e-05,49.0734
8,0.0286212,0.0287577,0.0180601,0.000965449,0.000539297,0.000545325,0.0602466,3.76437e-07,0.00198517,0.00212167,0.00208919,0.000944593,8.74442e-05,9.34715e-05,0.000227485,1.11271e-07,, , 0.00127313,0.00218914,0.000644581,0.0803593,0.0212412,0.00208919,0.000944593,0.00101147,7.36874e-05,8.89254e-05,1.83028e-05,0.000321226,0.00074128,0.000227485,1.11271e-07,0.0599602
Total,37.9562,30.2002,53.2711,0.483093,1.29937,1.24087,84.4405,0.00468131,6.91852,7.00802,34.6993,0.456262,0.565605,0.56155,8.3967,0.000715405,, , 1.85538,11.0806,0.990543,66.3248,24.208,34.6993,0.456262,1.2825,0.723331,0.339823,0.0640006,0.186405,1.4432,8.3967,0.000715405,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11973,0.00820273,1.51276,19.3627,0.020374,3.75741
