Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.9614,0,1.81752,0.00102029,0.0727764,0,0.111504,6.45587e-06,0.115956,0,1.23285,0.00101325,0.0183305,0,0.0876581,6.36638e-06,, , 0.0678534,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00101325,0.000987789,0.0134978,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.36638e-06,0.0585562
2,15.125,15.1825,11.3423,0.0106731,0.501056,0.504724,3.50291,0.00104317,3.68425,3.74176,9.61573,0.0103596,0.175231,0.178899,2.63447,6.47366e-05,, , 0.533388,6.59864,0.293982,15.1163,9.97854,9.61573,0.0103596,0.0155217,0.206009,0.129148,0.0189722,0.00853657,0.640836,2.63447,6.47366e-05,0.920125
3,4.20547,4.23057,7.27596,0.0219833,0.174169,0.175529,2.87845,0.000433642,0.891282,0.916387,6.4178,0.0213562,0.0705269,0.0718868,1.14892,5.23586e-05,, , 0.229865,1.44982,0.127988,5.23262,3.22802,6.4178,0.0213562,0.0293457,0.0923307,0.0417726,0.00831032,0.00755516,0.204585,1.14892,5.23586e-05,1.73961
4,6.18284,6.23951,7.7664,0.0432588,0.27992,0.283919,5.56199,0.00104296,1.10885,1.16552,6.41558,0.0420047,0.13741,0.141409,2.10397,0.000253353,, , 0.476633,1.54823,0.249511,8.74862,4.69842,6.41558,0.0420047,0.0584488,0.186305,0.0761984,0.0163154,0.0118465,0.284231,2.10397,0.000253353,3.46485
5,1.53202,1.55288,7.0369,0.0843735,0.0882743,0.0897903,7.65649,0.00120118,0.276319,0.297176,5.50107,0.0818654,0.0487183,0.0502343,0.742656,0.000571042,, , 0.174737,0.307138,0.0916197,6.2831,1.66068,5.50107,0.0818654,0.116473,0.068948,0.024022,0.00598265,0.017688,0.0855392,0.742656,0.000571042,6.90454
6,2.44822,2.49224,8.43904,0.163329,0.15128,0.15463,15.2772,0.000876854,0.451488,0.495516,5.50167,0.158312,0.0972715,0.100621,1.44978,0.000758665,, , 0.356486,0.409594,0.180924,11.9572,2.76674,5.50167,0.158312,0.232886,0.13923,0.0467762,0.0118864,0.0313899,0.125166,1.44978,0.000758665,13.8055
7,0.470103,0.471245,9.57553,0.318235,0.0296985,0.0300234,49.3644,0.000260651,0.385865,0.387007,0.0130306,0.30115,0.0163728,0.0166976,0.201691,4.3427e-05,, , 0.0100892,0.757676,0.00510665,12.0326,0.287429,0.0130306,0.30115,0.827824,0.0135604,0.0183357,0.00117436,0.107445,0.0520212,0.201691,4.3427e-05,49.0734
8,0.0286195,0.028756,0.0180749,0.00109725,0.000539324,0.000545294,0.0602488,3.85427e-07,0.00198343,0.00211994,0.00210401,0.00107639,8.74706e-05,9.34407e-05,0.000229628,1.2026e-07,, , 0.00126965,0.00218914,0.000644581,0.0803593,0.0212412,0.00210401,0.00107639,0.00101147,7.36713e-05,8.89254e-05,1.83146e-05,0.000321226,0.00074128,0.000229628,1.2026e-07,0.0599602
Total,37.9536,30.1977,53.2717,0.64397,1.29771,1.23916,84.4132,0.0048653,6.91599,7.00548,34.6998,0.617138,0.563948,0.559841,8.36937,0.00175007,, , 1.85032,11.0806,0.990543,66.3248,24.208,34.6998,0.617138,1.2825,0.719955,0.339823,0.064011,0.186405,1.4432,8.36937,0.00175007,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12048,0.00819222,1.51082,19.4232,0.0203093,3.74547
