Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96142,0,1.81752,0.00102654,0.0727797,0,0.111504,6.45835e-06,0.115974,0,1.23285,0.0010195,0.0183338,0,0.0876581,6.36885e-06,, , 0.0678714,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0135011,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.36885e-06,0.0585562
2,15.1258,15.1833,11.3423,0.0110493,0.501992,0.50563,3.50292,0.0017243,3.68504,3.74255,9.61579,0.0107357,0.176167,0.179804,2.63447,0.000107307,, , 0.534971,6.59864,0.293982,15.1163,9.97854,9.61579,0.0107357,0.0155217,0.207845,0.129148,0.0189786,0.00853657,0.640836,2.63447,0.000107307,0.920125
3,4.20582,4.23092,7.27559,0.0219522,0.174133,0.175586,2.86638,0.000466582,0.891631,0.916736,6.41742,0.0213252,0.0704901,0.071943,1.13685,5.64761e-05,, , 0.230562,1.44982,0.127988,5.23262,3.22802,6.41742,0.0213252,0.0293457,0.0923694,0.0417726,0.0082911,0.00755516,0.204585,1.13685,5.64761e-05,1.73961
4,6.1832,6.23988,7.76649,0.0436187,0.280422,0.284376,5.58613,0.00133266,1.10921,1.16589,6.41567,0.0423646,0.137912,0.141866,2.12811,0.000325778,, , 0.477361,1.54823,0.249511,8.74862,4.69842,6.41567,0.0423646,0.0584488,0.187254,0.0761984,0.0163248,0.0118465,0.284231,2.12811,0.000325778,3.46485
5,1.53177,1.55262,7.03684,0.0856229,0.0883553,0.089884,7.65649,0.00129634,0.276062,0.296919,5.50102,0.0831148,0.0487994,0.0503281,0.742654,0.00061862,, , 0.174223,0.307138,0.0916197,6.2831,1.66068,5.50102,0.0831148,0.116473,0.0691254,0.024022,0.00598002,0.017688,0.0855392,0.742654,0.00061862,6.90454
6,2.449,2.49303,8.43895,0.11396,0.151417,0.154815,15.2772,0.00015239,0.45227,0.496298,5.50157,0.108943,0.0974083,0.100806,1.44977,3.42009e-05,, , 0.35805,0.409594,0.180924,11.9572,2.76674,5.50157,0.108943,0.232886,0.139562,0.0467762,0.0118765,0.0313899,0.125166,1.44977,3.42009e-05,13.8055
7,0.470118,0.47126,9.57542,0.237292,0.0295713,0.0299229,49.3592,0.000242761,0.38588,0.387022,0.0129222,0.220207,0.0162456,0.0165972,0.196432,2.5537e-05,, , 0.0101191,0.757676,0.00510665,12.0326,0.287429,0.0129222,0.220207,0.827824,0.0133383,0.0183357,0.00116882,0.107445,0.0520212,0.196432,2.5537e-05,49.0734
8,0.0286104,0.0287469,0.018082,0.000982868,0.000539321,0.000545263,0.0602488,3.68788e-07,0.00197435,0.00211085,0.00211115,0.000962013,8.74677e-05,9.34102e-05,0.000229628,1.03621e-07,, , 0.00125149,0.00218914,0.000644581,0.0803593,0.0212412,0.00211115,0.000962013,0.00101147,7.36321e-05,8.89254e-05,1.83203e-05,0.000321226,0.00074128,0.000229628,1.03621e-07,0.0599602
Total,37.9557,30.1997,53.2712,0.515504,1.29921,1.24076,84.42,0.00522186,6.91805,7.00752,34.6994,0.488672,0.565443,0.561438,8.37618,0.00117439,, , 1.85441,11.0806,0.990543,66.3248,24.208,34.6994,0.488672,1.2825,0.723069,0.339823,0.0639894,0.186405,1.4432,8.37618,0.00117439,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12022,0.00820061,1.51237,19.4041,0.020361,3.755
