Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96135,0,1.81752,0.00102029,0.0727664,0,0.111504,5.0842e-06,0.1159,0,1.23285,0.00101325,0.0183205,0,0.0876581,4.9947e-06,, , 0.0677977,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00101325,0.000987789,0.0134878,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,4.9947e-06,0.0585562
2,15.1255,15.183,11.3419,0.0108552,0.501312,0.505141,3.47521,0.000561375,3.68478,3.74228,9.6154,0.0105417,0.175487,0.179315,2.60677,3.46242e-05,, , 0.534442,6.59864,0.293982,15.1163,9.97854,9.6154,0.0105417,0.0155217,0.206714,0.129148,0.0189391,0.00853657,0.640836,2.60677,3.46242e-05,0.920125
3,4.20582,4.23093,7.2759,0.0216531,0.174139,0.175515,2.87845,0.000896721,0.891639,0.916743,6.41773,0.0210261,0.070496,0.0718722,1.14892,0.000110243,, , 0.230578,1.44982,0.127988,5.23262,3.22802,6.41773,0.0210261,0.0293457,0.0922886,0.0417726,0.00830696,0.00755516,0.204585,1.14892,0.000110243,1.73961
4,6.18265,6.23933,7.76677,0.0419269,0.280325,0.284139,5.61027,0.00112219,1.10866,1.16534,6.41596,0.0406729,0.137815,0.141629,2.15226,0.000273161,, , 0.476263,1.54823,0.249511,8.74862,4.69842,6.41596,0.0406729,0.0584488,0.186891,0.0761984,0.0163538,0.0118465,0.284231,2.15226,0.000273161,3.46485
5,1.53323,1.55409,7.03639,0.0828177,0.0886363,0.0902776,7.6476,0.00091237,0.277526,0.298382,5.50057,0.0803096,0.0490804,0.0507216,0.733768,0.000426638,, , 0.17715,0.307138,0.0916197,6.2831,1.66068,5.50057,0.0803096,0.116473,0.0698232,0.024022,0.00595673,0.017688,0.0855392,0.733768,0.000426638,6.90454
6,2.44975,2.49378,8.43879,0.154894,0.151366,0.154839,15.2771,0.00037456,0.453019,0.497047,5.50142,0.149878,0.0973574,0.10083,1.44976,0.000256371,, , 0.359548,0.409594,0.180924,11.9572,2.76674,5.50142,0.149878,0.232886,0.139551,0.0467762,0.0118609,0.0313899,0.125166,1.44976,0.000256371,13.8055
7,0.47009,0.471232,9.57552,0.170364,0.029655,0.0299803,49.3644,0.000233343,0.385852,0.386994,0.0130286,0.15328,0.0163293,0.0166546,0.201691,1.61183e-05,, , 0.0100633,0.757676,0.00510665,12.0326,0.287429,0.0130286,0.15328,0.827824,0.0134739,0.0183357,0.00117426,0.107445,0.0520212,0.201691,1.61183e-05,49.0734
8,0.0286236,0.0287601,0.0180606,0.000705622,0.000539342,0.000545367,0.0602466,3.38937e-07,0.00198758,0.00212408,0.00208974,0.000684767,8.74887e-05,9.35139e-05,0.000227485,7.37706e-08,, , 0.00127794,0.00218914,0.000644581,0.0803593,0.0212412,0.00208974,0.000684767,0.00101147,7.37739e-05,8.89254e-05,1.83032e-05,0.000321226,0.00074128,0.000227485,7.37706e-08,0.0599602
Total,37.957,30.2011,53.2709,0.484237,1.29874,1.24044,84.4249,0.00410598,6.91936,7.00891,34.6991,0.457406,0.564972,0.561116,8.38105,0.00112222,, , 1.85712,11.0806,0.990543,66.3248,24.208,34.6991,0.457406,1.2825,0.722304,0.339823,0.0639614,0.186405,1.4432,8.38105,0.00112222,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12015,0.00820255,1.51273,19.3959,0.0203729,3.7572
