Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96134,0,1.81752,0.00102654,0.0727643,0,0.111504,7.47841e-06,0.115895,0,1.23285,0.0010195,0.0183184,0,0.0876581,7.38891e-06,, , 0.0677928,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134857,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.38891e-06,0.0585562
2,15.1238,15.1813,11.3422,0.0105499,0.500409,0.504126,3.47523,0.00145418,3.68304,3.74055,9.61563,0.0102364,0.174584,0.1783,2.60678,9.04244e-05,, , 0.530976,6.59864,0.293982,15.1163,9.97854,9.61563,0.0102364,0.0155217,0.204774,0.129148,0.0189622,0.00853657,0.640836,2.60678,9.04244e-05,0.920125
3,4.20656,4.23166,7.2745,0.0209896,0.173623,0.175345,2.83018,0.000911963,0.89237,0.917475,6.41633,0.0203625,0.0699804,0.0717025,1.10064,0.000112149,, , 0.232041,1.44982,0.127988,5.23262,3.22802,6.41633,0.0203625,0.0293457,0.0916749,0.0417726,0.0082354,0.00755516,0.204585,1.10064,0.000112149,1.73961
4,6.17956,6.23624,7.76697,0.0433162,0.277397,0.281114,5.61029,0.000556818,1.10557,1.16225,6.41615,0.0420622,0.134886,0.138604,2.15227,0.000131818,, , 0.470081,1.54823,0.249511,8.74862,4.69842,6.41615,0.0420622,0.0584488,0.180918,0.0761984,0.0163737,0.0118465,0.284231,2.15227,0.000131818,3.46485
5,1.52939,1.55025,7.03865,0.0837326,0.0878693,0.0889508,7.70974,0.00107171,0.273687,0.294544,5.50283,0.0812245,0.0483133,0.0493948,0.795905,0.000506309,, , 0.169473,0.307138,0.0916197,6.2831,1.66068,5.50283,0.0812245,0.116473,0.0676136,0.024022,0.00607252,0.017688,0.0855392,0.795905,0.000506309,6.90454
6,2.44471,2.48874,8.44003,0.156053,0.150538,0.153403,15.3482,0.000656511,0.447986,0.492014,5.50265,0.151037,0.0965292,0.0993937,1.52082,0.000538322,, , 0.349481,0.409594,0.180924,11.9572,2.76674,5.50265,0.151037,0.232886,0.13716,0.0467762,0.0119868,0.0313899,0.125166,1.52082,0.000538322,13.8055
7,0.470089,0.471231,9.57556,0.354144,0.0297733,0.0300902,49.3662,0.00028285,0.385852,0.386994,0.0130626,0.337059,0.0164476,0.0167645,0.203443,6.56259e-05,, , 0.0100621,0.757676,0.00510665,12.0326,0.287429,0.0130626,0.337059,0.827824,0.0137004,0.0183357,0.001176,0.107445,0.0520212,0.203443,6.56259e-05,49.0734
8,0.0286136,0.0287501,0.0180732,0.000750949,0.000539315,0.000545292,0.0602488,3.4847e-07,0.00197758,0.00211408,0.00210237,0.000730093,8.74623e-05,9.34388e-05,0.000229628,8.33032e-08,, , 0.00125795,0.00218914,0.000644581,0.0803593,0.0212412,0.00210237,0.000730093,0.00101147,7.36624e-05,8.89254e-05,1.83133e-05,0.000321226,0.00074128,0.000229628,8.33032e-08,0.0599602
Total,37.944,30.1881,53.2735,0.670563,1.29291,1.23357,84.5116,0.00494186,6.90638,6.99594,34.7016,0.643731,0.559146,0.554253,8.46775,0.00145212,, , 1.83116,11.0806,0.990543,66.3248,24.208,34.7016,0.643731,1.2825,0.7094,0.339823,0.0641763,0.186405,1.4432,8.46775,0.00145212,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11833,0.00819161,1.51071,19.2454,0.0203055,3.74477
