Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96154,0,1.81752,0.000701019,0.072805,0,0.111504,5.09805e-06,0.116094,0,1.23285,0.00069398,0.0183591,0,0.0876581,5.00856e-06,, , 0.0679916,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00069398,0.000987789,0.0135264,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.00856e-06,0.0585562
2,15.1253,15.1829,11.3424,0.00223953,0.502676,0.506286,3.50292,1.07705e-05,3.68463,3.74214,9.61585,0.00192601,0.176851,0.18046,2.63448,2.1148e-07,, , 0.534148,6.59864,0.293982,15.1163,9.97854,9.61585,0.00192601,0.0155217,0.209178,0.129148,0.0189844,0.00853657,0.640836,2.63448,2.1148e-07,0.920125
3,4.20465,4.22976,7.27761,0.0122179,0.174472,0.175426,2.93876,2.93105e-05,0.890468,0.915573,6.41944,0.0115908,0.0708295,0.071783,1.20923,1.81711e-06,, , 0.228237,1.44982,0.127988,5.23262,3.22802,6.41944,0.0115908,0.0293457,0.0924456,0.0417726,0.00839436,0.00755516,0.204585,1.20923,1.81711e-06,1.73961
4,6.17949,6.23617,7.76725,0.00588007,0.28033,0.283907,5.63443,3.15585e-05,1.1055,1.16218,6.41643,0.00462602,0.13782,0.141397,2.17641,5.02824e-07,, , 0.469942,1.54823,0.249511,8.74862,4.69842,6.41643,0.00462602,0.0584488,0.186615,0.0761984,0.0164027,0.0118465,0.284231,2.17641,5.02824e-07,3.46485
5,1.53103,1.55189,7.03715,0.0197405,0.0882193,0.0896728,7.66537,6.26245e-05,0.275331,0.296188,5.50133,0.0172324,0.0486634,0.0501168,0.751534,1.765e-06,, , 0.172761,0.307138,0.0916197,6.2831,1.66068,5.50133,0.0172324,0.116473,0.0687626,0.024022,0.00599558,0.017688,0.0855392,0.751534,1.765e-06,6.90454
6,2.44663,2.49066,8.43934,0.0394285,0.151289,0.154493,15.2949,0.000121773,0.449903,0.493931,5.50197,0.0344123,0.0972799,0.100484,1.46755,3.58353e-06,, , 0.353315,0.409594,0.180924,11.9572,2.76674,5.50197,0.0344123,0.232886,0.139072,0.0467762,0.0119165,0.0313899,0.125166,1.46755,3.58353e-06,13.8055
7,0.470085,0.471227,9.57565,0.0186495,0.0297281,0.0300231,49.3697,0.000217934,0.385847,0.386989,0.0131511,0.00156499,0.0164023,0.0166974,0.206948,7.09665e-07,, , 0.0100527,0.757676,0.00510665,12.0326,0.287429,0.0131511,0.00156499,0.827824,0.0135835,0.0183357,0.00118052,0.107445,0.0520212,0.206948,7.09665e-07,49.0734
8,0.0286233,0.0287598,0.0180721,0.000140637,0.000539362,0.000545342,0.0602488,2.87954e-07,0.00198725,0.00212375,0.00210127,0.000119782,8.75087e-05,9.34893e-05,0.000229628,2.27874e-08,, , 0.00127728,0.00218914,0.000644581,0.0803593,0.0212412,0.00210127,0.000119782,0.00101147,7.37602e-05,8.89254e-05,1.83124e-05,0.000321226,0.00074128,0.000229628,2.27874e-08,0.0599602
Total,37.9474,30.1913,53.275,0.0989977,1.30006,1.24035,84.5778,0.000479357,6.90976,6.99912,34.7031,0.0721663,0.566292,0.561032,8.53403,1.3621e-05,, , 1.83772,11.0806,0.990543,66.3248,24.208,34.7031,0.0721663,1.2825,0.723257,0.339823,0.0642437,0.186405,1.4432,8.53403,1.3621e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11649,0.00822959,1.51771,19.0885,0.0205406,3.78812
