Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96139,0,1.81752,0.00102654,0.0727736,0,0.111504,5.09081e-06,0.115941,0,1.23285,0.0010195,0.0183277,0,0.0876581,5.00132e-06,, , 0.0678385,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.013495,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.00132e-06,0.0585562
2,15.125,15.1825,11.3422,0.0110683,0.500381,0.504066,3.50291,4.98727e-05,3.6843,3.74181,9.61569,0.0107548,0.174555,0.178241,2.63446,2.65537e-06,, , 0.533486,6.59864,0.293982,15.1163,9.97854,9.61569,0.0107548,0.0155217,0.204679,0.129148,0.0189686,0.00853657,0.640836,2.63446,2.65537e-06,0.920125
3,4.20551,4.23061,7.27612,0.0209346,0.174165,0.175486,2.89051,0.0010994,0.891321,0.916426,6.41795,0.0203076,0.0705222,0.0718429,1.16098,0.000135578,, , 0.229943,1.44982,0.127988,5.23262,3.22802,6.41795,0.0203076,0.0293457,0.0922741,0.0417726,0.00831842,0.00755516,0.204585,1.16098,0.000135578,1.73961
4,6.18332,6.24,7.76619,0.0436937,0.280206,0.284305,5.56197,0.00104539,1.10933,1.166,6.41538,0.0424397,0.137696,0.141795,2.10396,0.000253961,, , 0.477597,1.54823,0.249511,8.74862,4.69842,6.41538,0.0424397,0.0584488,0.186998,0.0761984,0.0162947,0.0118465,0.284231,2.10396,0.000253961,3.46485
5,1.53339,1.55424,7.03639,0.0761432,0.0885864,0.0902265,7.6476,0.000339978,0.277685,0.298541,5.50057,0.0736351,0.0490305,0.0506706,0.733768,0.000140442,, , 0.177468,0.307138,0.0916197,6.2831,1.66068,5.50057,0.0736351,0.116473,0.069722,0.024022,0.00595697,0.017688,0.0855392,0.733768,0.000140442,6.90454
6,2.449,2.49303,8.43896,0.143967,0.151245,0.154635,15.2772,0.000210689,0.452275,0.496303,5.50159,0.138951,0.0972358,0.100626,1.44977,9.25e-05,, , 0.35806,0.409594,0.180924,11.9572,2.76674,5.50159,0.138951,0.232886,0.139208,0.0467762,0.0118781,0.0313899,0.125166,1.44977,9.25e-05,13.8055
7,0.470138,0.47128,9.57554,0.256263,0.0296754,0.0299973,49.3644,0.000245797,0.3859,0.387043,0.0130424,0.239179,0.0163497,0.0166716,0.201691,2.85722e-05,, , 0.01016,0.757676,0.00510665,12.0326,0.287429,0.0130424,0.239179,0.827824,0.0135107,0.0183357,0.00117496,0.107445,0.0520212,0.201691,2.85722e-05,49.0734
8,0.0286153,0.0287518,0.0180628,0.000473867,0.000539276,0.000545293,0.0602466,3.19898e-07,0.00197925,0.00211576,0.00209193,0.000453011,8.74229e-05,9.34396e-05,0.000227485,5.47314e-08,, , 0.0012613,0.00218914,0.000644581,0.0803593,0.0212412,0.00209193,0.000453011,0.00101147,7.36322e-05,8.89254e-05,1.8305e-05,0.000321226,0.00074128,0.000227485,5.47314e-08,0.0599602
Total,37.9564,30.2004,53.271,0.553571,1.29757,1.23926,84.4163,0.00299653,6.91873,7.00824,34.6992,0.526739,0.563804,0.55994,8.37252,0.000658764,, , 1.85582,11.0806,0.990543,66.3248,24.208,34.6992,0.526739,1.2825,0.71996,0.339823,0.0639613,0.186405,1.4432,8.37252,0.000658764,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12044,0.00819797,1.51188,19.4191,0.0203447,3.752
