Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96137,0,1.81752,0.00102654,0.0727704,0,0.111504,8.1607e-06,0.115924,0,1.23285,0.0010195,0.0183245,0,0.0876581,8.07121e-06,, , 0.0678219,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134918,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.07121e-06,0.0585562
2,15.1252,15.1827,11.3421,0.00996205,0.501111,0.50487,3.47522,0.000332787,3.68446,3.74197,9.61555,0.00964853,0.175286,0.179044,2.60678,2.03375e-05,, , 0.533808,6.59864,0.293982,15.1163,9.97854,9.61555,0.00964853,0.0155217,0.206228,0.129148,0.0189536,0.00853657,0.640836,2.60678,2.03375e-05,0.920125
3,4.20545,4.23055,7.27574,0.0218755,0.174087,0.175503,2.87844,0.000517811,0.891262,0.916367,6.41757,0.0212484,0.0704446,0.0718601,1.14891,6.28797e-05,, , 0.229825,1.44982,0.127988,5.23262,3.22802,6.41757,0.0212484,0.0293457,0.0922332,0.0417726,0.00829883,0.00755516,0.204585,1.14891,6.28797e-05,1.73961
4,6.18294,6.23961,7.76622,0.0426548,0.280447,0.284532,5.56197,0.0013476,1.10895,1.16562,6.41541,0.0414008,0.137937,0.142022,2.10396,0.000329513,, , 0.476833,1.54823,0.249511,8.74862,4.69842,6.41541,0.0414008,0.0584488,0.187462,0.0761984,0.0162977,0.0118465,0.284231,2.10396,0.000329513,3.46485
5,1.53287,1.55372,7.03656,0.0867196,0.0885552,0.0901553,7.64761,0.00103584,0.277163,0.298019,5.50073,0.0842115,0.0489992,0.0505993,0.733772,0.000488372,, , 0.176424,0.307138,0.0916197,6.2831,1.66068,5.50073,0.0842115,0.116473,0.0696113,0.024022,0.00596525,0.017688,0.0855392,0.733772,0.000488372,6.90454
6,2.4493,2.49333,8.43878,0.162221,0.151159,0.154641,15.2771,0.000807929,0.45257,0.496598,5.5014,0.157205,0.0971504,0.100632,1.44976,0.00068974,, , 0.358649,0.409594,0.180924,11.9572,2.76674,5.5014,0.157205,0.232886,0.139148,0.0467762,0.0118591,0.0313899,0.125166,1.44976,0.00068974,13.8055
7,0.470055,0.471197,9.57552,0.188802,0.0295506,0.0298757,49.3644,0.000235533,0.385817,0.386959,0.0130295,0.171717,0.0162249,0.01655,0.201691,1.83081e-05,, , 0.00999285,0.757676,0.00510665,12.0326,0.287429,0.0130295,0.171717,0.827824,0.0132649,0.0183357,0.0011743,0.107445,0.0520212,0.201691,1.83081e-05,49.0734
8,0.0286189,0.0287554,0.0180875,0.000743245,0.000539326,0.000545247,0.0602488,3.50026e-07,0.00198291,0.00211941,0.00211664,0.00072239,8.74725e-05,9.33938e-05,0.000229629,8.48597e-08,, , 0.0012686,0.00218914,0.000644581,0.0803593,0.0212412,0.00211664,0.00072239,0.00101147,7.36161e-05,8.89254e-05,1.83247e-05,0.000321226,0.00074128,0.000229629,8.48597e-08,0.0599602
Total,37.9558,30.1999,53.2705,0.514005,1.29822,1.24012,84.3766,0.00428601,6.91813,7.00765,34.6987,0.487173,0.564454,0.560801,8.33276,0.00161731,, , 1.85462,11.0806,0.990543,66.3248,24.208,34.6987,0.487173,1.2825,0.721513,0.339823,0.0639184,0.186405,1.4432,8.33276,0.00161731,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12135,0.00820075,1.51239,19.4956,0.0203618,3.75515
