Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96146,0,1.81752,0.000355455,0.0727881,0,0.111504,1.75927e-06,0.116011,0,1.23285,0.000348416,0.0183422,0,0.0876581,1.66978e-06,, , 0.0679092,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.000348416,0.000987789,0.0135095,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,1.66978e-06,0.0585562
2,15.1258,15.1833,11.3422,0.00331885,0.502503,0.506173,3.50291,1.27945e-05,3.68504,3.74255,9.61572,0.00300534,0.176677,0.180347,2.63447,3.3798e-07,, , 0.534965,6.59864,0.293982,15.1163,9.97854,9.61572,0.00300534,0.0155217,0.208904,0.129148,0.0189718,0.00853657,0.640836,2.63447,3.3798e-07,0.920125
3,4.20496,4.23007,7.27675,0.01121,0.174219,0.175384,2.91463,2.64135e-05,0.890778,0.915882,6.41858,0.010583,0.070576,0.0717413,1.1851,1.45498e-06,, , 0.228855,1.44982,0.127988,5.23262,3.22802,6.41858,0.010583,0.0293457,0.0921941,0.0417726,0.00835058,0.00755516,0.204585,1.1851,1.45498e-06,1.73961
4,6.1814,6.23807,7.76659,0.00349917,0.280601,0.284504,5.58613,3.06374e-05,1.10741,1.16408,6.41577,0.00224512,0.138091,0.141994,2.12812,2.72549e-07,, , 0.473748,1.54823,0.249511,8.74862,4.69842,6.41577,0.00224512,0.0584488,0.187551,0.0761984,0.0163353,0.0118465,0.284231,2.12812,2.72549e-07,3.46485
5,1.53212,1.55297,7.0368,0.0155359,0.0883815,0.0899205,7.65649,6.17699e-05,0.276412,0.297269,5.50098,0.0130278,0.0488255,0.0503645,0.742653,1.3377e-06,, , 0.174923,0.307138,0.0916197,6.2831,1.66068,5.50098,0.0130278,0.116473,0.0691901,0.024022,0.00597788,0.017688,0.0855392,0.742653,1.3377e-06,6.90454
6,2.44865,2.49268,8.43882,0.033688,0.151607,0.155069,15.2771,0.000121142,0.451922,0.49595,5.50144,0.0286718,0.0975983,0.10106,1.44976,2.9531e-06,, , 0.357354,0.409594,0.180924,11.9572,2.76674,5.50144,0.0286718,0.232886,0.140019,0.0467762,0.0118632,0.0313899,0.125166,1.44976,2.9531e-06,13.8055
7,0.470119,0.471261,9.57554,0.0179362,0.0297178,0.030038,49.3644,0.000217788,0.385881,0.387023,0.0130493,0.000851667,0.0163921,0.0167123,0.201692,5.63408e-07,, , 0.0101211,0.757676,0.00510665,12.0326,0.287429,0.0130493,0.000851667,0.827824,0.0135935,0.0183357,0.00117532,0.107445,0.0520212,0.201692,5.63408e-07,49.0734
8,0.0286196,0.0287561,0.0180716,6.68032e-05,0.000539315,0.000545298,0.0602488,2.78177e-07,0.00198361,0.00212012,0.00210072,4.5948e-05,8.74622e-05,9.3445e-05,0.000229628,1.30102e-08,, , 0.00127002,0.00218914,0.000644581,0.0803593,0.0212412,0.00210072,4.5948e-05,0.00101147,7.36697e-05,8.89254e-05,1.8312e-05,0.000321226,0.00074128,0.000229628,1.30102e-08,0.0599602
Total,37.9531,30.1971,53.2723,0.0856104,1.30036,1.24163,84.4735,0.000472583,6.91543,7.00487,34.7005,0.058779,0.566589,0.562313,8.42968,8.60252e-06,, , 1.84915,11.0806,0.990543,66.3248,24.208,34.7005,0.058779,1.2825,0.725036,0.339823,0.0640437,0.186405,1.4432,8.42968,8.60252e-06,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11899,0.0082299,1.51777,19.2938,0.0205425,3.78847
