Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96136,0,1.81752,0.00102654,0.0727692,0,0.111504,5.43268e-06,0.115915,0,1.23285,0.0010195,0.0183233,0,0.0876581,5.34319e-06,, , 0.0678132,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134906,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.34319e-06,0.0585562
2,15.1251,15.1826,11.342,0.00999172,0.500735,0.504523,3.47522,0.000265377,3.6844,3.74191,9.61548,0.00967821,0.174909,0.178697,2.60677,1.61244e-05,, , 0.53369,6.59864,0.293982,15.1163,9.97854,9.61548,0.00967821,0.0155217,0.205511,0.129148,0.0189473,0.00853657,0.640836,2.60677,1.61244e-05,0.920125
3,4.20607,4.23117,7.2755,0.0220098,0.174071,0.175545,2.86638,0.000446299,0.891882,0.916987,6.41733,0.0213828,0.070428,0.0719022,1.13685,5.39407e-05,, , 0.231064,1.44982,0.127988,5.23262,3.22802,6.41733,0.0213828,0.0293457,0.092271,0.0417726,0.00828669,0.00755516,0.204585,1.13685,5.39407e-05,1.73961
4,6.18187,6.23854,7.76616,0.0409742,0.280165,0.284281,5.56197,0.000600844,1.10788,1.16455,6.41534,0.0397202,0.137654,0.141771,2.10396,0.000142824,, , 0.474696,1.54823,0.249511,8.74862,4.69842,6.41534,0.0397202,0.0584488,0.186935,0.0761984,0.0162912,0.0118465,0.284231,2.10396,0.000142824,3.46485
5,1.53268,1.55353,7.0365,0.0852921,0.088555,0.0901687,7.64761,0.00107164,0.276973,0.29783,5.50068,0.082784,0.048999,0.0506127,0.733771,0.000506274,, , 0.176045,0.307138,0.0916197,6.2831,1.66068,5.50068,0.082784,0.116473,0.0696273,0.024022,0.00596243,0.017688,0.0855392,0.733771,0.000506274,6.90454
6,2.44878,2.49281,8.43894,0.152103,0.151135,0.154537,15.2772,0.000316214,0.452055,0.496082,5.50157,0.147087,0.0971261,0.100528,1.44977,0.000198025,, , 0.357618,0.409594,0.180924,11.9572,2.76674,5.50157,0.147087,0.232886,0.139002,0.0467762,0.0118757,0.0313899,0.125166,1.44977,0.000198025,13.8055
7,0.470083,0.471225,9.57548,0.308376,0.029704,0.0300391,49.3627,0.000257691,0.385845,0.386987,0.0129888,0.291292,0.0163783,0.0167134,0.199938,4.0467e-05,, , 0.0100495,0.757676,0.00510665,12.0326,0.287429,0.0129888,0.291292,0.827824,0.0135838,0.0183357,0.00117222,0.107445,0.0520212,0.199938,4.0467e-05,49.0734
8,0.0286207,0.0287572,0.0180963,0.000863818,0.00053935,0.000545237,0.0602488,3.62267e-07,0.00198465,0.00212116,0.00212543,0.000842963,8.74969e-05,9.33843e-05,0.000229629,9.71006e-08,, , 0.00127209,0.00218914,0.000644581,0.0803593,0.0212412,0.00212543,0.000842963,0.00101147,7.36241e-05,8.89254e-05,1.83317e-05,0.000321226,0.00074128,0.000229629,9.71006e-08,0.0599602
Total,37.9546,30.1987,53.2702,0.620638,1.29767,1.23964,84.3628,0.00296386,6.91694,7.00647,34.6984,0.593807,0.563905,0.560318,8.31895,0.000963095,, , 1.85225,11.0806,0.990543,66.3248,24.208,34.6984,0.593807,1.2825,0.720495,0.339823,0.0639052,0.186405,1.4432,8.31895,0.000963095,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12174,0.00819376,1.5111,19.5276,0.0203188,3.74721
