Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96155,0,1.81752,0.000626019,0.0728073,0,0.111504,2.9863e-06,0.116107,0,1.23285,0.00061898,0.0183614,0,0.0876581,2.8968e-06,, , 0.0680047,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00061898,0.000987789,0.0135287,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,2.8968e-06,0.0585562
2,15.1251,15.1827,11.3424,0.00241524,0.502509,0.506121,3.50292,1.08684e-05,3.68443,3.74194,9.61584,0.00210172,0.176683,0.180295,2.63448,2.17601e-07,, , 0.533747,6.59864,0.293982,15.1163,9.97854,9.61584,0.00210172,0.0155217,0.208847,0.129148,0.0189839,0.00853657,0.640836,2.63448,2.17601e-07,0.920125
3,4.20452,4.22962,7.27772,0.0139385,0.174457,0.175383,2.95081,3.59279e-05,0.89033,0.915435,6.41955,0.0133115,0.0708142,0.0717406,1.22128,2.64428e-06,, , 0.22796,1.44982,0.127988,5.23262,3.22802,6.41955,0.0133115,0.0293457,0.0923822,0.0417726,0.00839998,0.00755516,0.204585,1.22128,2.64428e-06,1.73961
4,6.17982,6.2365,7.76717,0.00630742,0.280271,0.283887,5.63442,3.16794e-05,1.10583,1.16251,6.41636,0.00505337,0.137761,0.141377,2.17641,5.33049e-07,, , 0.4706,1.54823,0.249511,8.74862,4.69842,6.41636,0.00505337,0.0584488,0.186544,0.0761984,0.0163946,0.0118465,0.284231,2.17641,5.33049e-07,3.46485
5,1.53131,1.55217,7.03702,0.010924,0.0882683,0.0897541,7.66537,6.09104e-05,0.275606,0.296463,5.5012,0.00841594,0.0487123,0.0501982,0.751531,9.07969e-07,, , 0.173311,0.307138,0.0916197,6.2831,1.66068,5.5012,0.00841594,0.116473,0.0688996,0.024022,0.00598888,0.017688,0.0855392,0.751531,9.07969e-07,6.90454
6,2.44673,2.49075,8.43928,0.0328854,0.151233,0.154464,15.2949,0.000121075,0.449998,0.494026,5.50191,0.0278692,0.0972239,0.100455,1.46754,2.88579e-06,, , 0.353505,0.409594,0.180924,11.9572,2.76674,5.50191,0.0278692,0.232886,0.138992,0.0467762,0.011911,0.0313899,0.125166,1.46754,2.88579e-06,13.8055
7,0.470121,0.471263,9.5756,0.0193189,0.0297527,0.0300585,49.3679,0.000218041,0.385884,0.387026,0.0131077,0.0022343,0.016427,0.0167327,0.205196,8.16258e-07,, , 0.0101262,0.757676,0.00510665,12.0326,0.287429,0.0131077,0.0022343,0.827824,0.0136457,0.0183357,0.0011783,0.107445,0.0520212,0.205196,8.16258e-07,49.0734
8,0.0286253,0.0287618,0.018087,4.94875e-05,0.000539374,0.000545298,0.0602488,2.76277e-07,0.00198931,0.00212581,0.00211609,2.86324e-05,8.75211e-05,9.34445e-05,0.000229629,1.11103e-08,, , 0.0012814,0.00218914,0.000644581,0.0803593,0.0212412,0.00211609,2.86324e-05,0.00101147,7.37159e-05,8.89254e-05,1.83243e-05,0.000321226,0.00074128,0.000229629,1.11103e-08,0.0599602
Total,37.9478,30.1917,53.2748,0.086465,1.29984,1.24021,84.5881,0.000481764,6.91018,6.99952,34.7029,0.0596337,0.56607,0.560892,8.54432,1.09129e-05,, , 1.83854,11.0806,0.990543,66.3248,24.208,34.7029,0.0596337,1.2825,0.722913,0.339823,0.0642263,0.186405,1.4432,8.54432,1.09129e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11625,0.0082304,1.51786,19.069,0.0205456,3.78905
