Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96137,0,1.81752,0.00102654,0.0727706,0,0.111504,5.77601e-06,0.115922,0,1.23285,0.0010195,0.0183247,0,0.0876581,5.68651e-06,, , 0.0678193,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.013492,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,5.68651e-06,0.0585562
2,15.1253,15.1828,11.342,0.0106404,0.500505,0.504285,3.47522,0.000141893,3.68456,3.74207,9.6155,0.0103269,0.174679,0.178459,2.60677,8.40665e-06,, , 0.534008,6.59864,0.293982,15.1163,9.97854,9.6155,0.0103269,0.0155217,0.205041,0.129148,0.018949,0.00853657,0.640836,2.60677,8.40665e-06,0.920125
3,4.20577,4.23087,7.27594,0.0215019,0.174088,0.175455,2.87845,0.00155922,0.891582,0.916687,6.41777,0.0208749,0.0704456,0.0718127,1.14892,0.000193055,, , 0.230465,1.44982,0.127988,5.23262,3.22802,6.41777,0.0208749,0.0293457,0.0921769,0.0417726,0.00830882,0.00755516,0.204585,1.14892,0.000193055,1.73961
4,6.18435,6.24103,7.76622,0.0422351,0.280213,0.284299,5.56197,0.000666165,1.11036,1.16703,6.4154,0.040981,0.137703,0.141789,2.10396,0.000159155,, , 0.479657,1.54823,0.249511,8.74862,4.69842,6.4154,0.040981,0.0584488,0.186996,0.0761984,0.0162974,0.0118465,0.284231,2.10396,0.000159155,3.46485
5,1.534,1.55486,7.03628,0.0838006,0.0886926,0.0903609,7.63872,0.000997526,0.278297,0.299153,5.50046,0.0812925,0.0491366,0.050805,0.724888,0.000469216,, , 0.178692,0.307138,0.0916197,6.2831,1.66068,5.50046,0.0812925,0.116473,0.0699684,0.024022,0.00595112,0.017688,0.0855392,0.724888,0.000469216,6.90454
6,2.44936,2.49339,8.43866,0.158988,0.150573,0.154112,15.2594,0.000555378,0.452629,0.496657,5.50129,0.153972,0.0965642,0.100103,1.432,0.000437189,, , 0.358767,0.409594,0.180924,11.9572,2.76674,5.50129,0.153972,0.232886,0.138043,0.0467762,0.0118474,0.0313899,0.125166,1.432,0.000437189,13.8055
7,0.470104,0.471246,9.57556,0.271072,0.029473,0.0297905,49.3662,0.000248559,0.385866,0.387008,0.0130604,0.253988,0.0161473,0.0164648,0.203443,3.13349e-05,, , 0.0100914,0.757676,0.00510665,12.0326,0.287429,0.0130604,0.253988,0.827824,0.0131006,0.0183357,0.00117588,0.107445,0.0520212,0.203443,3.13349e-05,49.0734
8,0.0286162,0.0287527,0.0180606,0.000685378,0.000539291,0.000545316,0.0602466,3.40839e-07,0.0019802,0.0021167,0.00208974,0.000664523,8.74375e-05,9.34627e-05,0.000227485,7.56728e-08,, , 0.00126319,0.00218914,0.000644581,0.0803593,0.0212412,0.00208974,0.000664523,0.00101147,7.36715e-05,8.89254e-05,1.83032e-05,0.000321226,0.00074128,0.000227485,7.56728e-08,0.0599602
Total,37.9588,30.2029,53.2703,0.58995,1.29685,1.23885,84.3517,0.00417486,6.9212,7.01072,34.6984,0.563119,0.563088,0.559527,8.30786,0.00130412,, , 1.86076,11.0806,0.990543,66.3248,24.208,34.6984,0.563119,1.2825,0.718892,0.339823,0.0638993,0.186405,1.4432,8.30786,0.00130412,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12202,0.00819525,1.51138,19.5532,0.0203279,3.7489
