Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96149,0,1.81752,0.000463001,0.0727954,0,0.111504,2.11404e-06,0.116046,0,1.23285,0.000455962,0.0183495,0,0.0876581,2.02454e-06,, , 0.0679442,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.000455962,0.000987789,0.0135168,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,2.02454e-06,0.0585562
2,15.1253,15.1829,11.3422,0.00068996,0.502908,0.506604,3.50291,8.19437e-06,3.68463,3.74214,9.61567,0.000376446,0.177082,0.180778,2.63446,5.04723e-08,, , 0.534149,6.59864,0.293982,15.1163,9.97854,9.61567,0.000376446,0.0155217,0.209746,0.129148,0.0189664,0.00853657,0.640836,2.63446,5.04723e-08,0.920125
3,4.20496,4.23007,7.27713,0.0100287,0.174332,0.175404,2.92669,2.40436e-05,0.890776,0.915881,6.41896,0.00940172,0.0706889,0.0717615,1.19716,1.15874e-06,, , 0.228852,1.44982,0.127988,5.23262,3.22802,6.41896,0.00940172,0.0293457,0.0923081,0.0417726,0.00836976,0.00755516,0.204585,1.19716,1.15874e-06,1.73961
4,6.18046,6.23714,7.76687,0.00363397,0.280501,0.284267,5.61028,3.06875e-05,1.10647,1.16315,6.41605,0.00237992,0.137991,0.141756,2.15226,2.85058e-07,, , 0.471883,1.54823,0.249511,8.74862,4.69842,6.41605,0.00237992,0.0584488,0.187185,0.0761984,0.0163637,0.0118465,0.284231,2.15226,2.85058e-07,3.46485
5,1.53225,1.5531,7.03679,0.0234908,0.0883871,0.0899294,7.65649,6.33934e-05,0.276543,0.297399,5.50097,0.0209827,0.0488311,0.0503734,0.742653,2.14943e-06,, , 0.175185,0.307138,0.0916197,6.2831,1.66068,5.50097,0.0209827,0.116473,0.0692053,0.024022,0.0059772,0.017688,0.0855392,0.742653,2.14943e-06,6.90454
6,2.44877,2.49279,8.43892,0.0327014,0.151556,0.154968,15.2772,0.000121062,0.452038,0.496066,5.50155,0.0276852,0.0975474,0.100959,1.44977,2.87325e-06,, , 0.357585,0.409594,0.180924,11.9572,2.76674,5.50155,0.0276852,0.232886,0.139857,0.0467762,0.0118737,0.0313899,0.125166,1.44977,2.87325e-06,13.8055
7,0.470112,0.471254,9.57554,0.024687,0.0297004,0.0300213,49.3644,0.000218698,0.385874,0.387016,0.0130465,0.00760241,0.0163747,0.0166956,0.201692,1.47323e-06,, , 0.0101072,0.757676,0.00510665,12.0326,0.287429,0.0130465,0.00760241,0.827824,0.0135594,0.0183357,0.00117517,0.107445,0.0520212,0.201692,1.47323e-06,49.0734
8,0.0286225,0.028759,0.0180809,7.47417e-05,0.000539371,0.000545318,0.0602488,2.79536e-07,0.00198645,0.00212295,0.00211005,5.38866e-05,8.75183e-05,9.3465e-05,0.000229628,1.43693e-08,, , 0.00127568,0.00218914,0.000644581,0.0803593,0.0212412,0.00211005,5.38866e-05,0.00101147,7.37385e-05,8.89254e-05,1.83194e-05,0.000321226,0.00074128,0.000229628,1.43693e-08,0.0599602
Total,37.952,30.196,53.273,0.0957696,1.30072,1.24174,84.5097,0.000468472,6.91437,7.00377,34.7012,0.0689383,0.566952,0.562418,8.46589,1.00291e-05,, , 1.84698,11.0806,0.990543,66.3248,24.208,34.7012,0.0689383,1.2825,0.725451,0.339823,0.0640956,0.186405,1.4432,8.46589,1.00291e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.1181,0.00822931,1.51766,19.22,0.0205388,3.7878
