Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96132,0,1.81752,0.00108904,0.0727601,0,0.111504,8.09697e-06,0.11587,0,1.23285,0.001082,0.0183142,0,0.0876581,8.00748e-06,, , 0.067768,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.001082,0.000987789,0.0134815,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.00748e-06,0.0585562
2,15.1256,15.1831,11.3419,0.0107708,0.500325,0.504168,3.47521,0.000666438,3.68486,3.74237,9.61538,0.0104573,0.1745,0.178342,2.60676,4.11907e-05,, , 0.534616,6.59864,0.293982,15.1163,9.97854,9.61538,0.0104573,0.0155217,0.204758,0.129148,0.0189362,0.00853657,0.640836,2.60676,4.11907e-05,0.920125
3,4.20548,4.23059,7.27602,0.0221651,0.174154,0.175499,2.87845,0.000164323,0.891294,0.916399,6.41785,0.0215381,0.0705111,0.0718566,1.14892,1.86937e-05,, , 0.229889,1.44982,0.127988,5.23262,3.22802,6.41785,0.0215381,0.0293457,0.0922818,0.0417726,0.00831331,0.00755516,0.204585,1.14892,1.86937e-05,1.73961
4,6.18286,6.23953,7.7664,0.0423902,0.28007,0.28407,5.56199,0.00106388,1.10887,1.16554,6.41558,0.0411361,0.13756,0.14156,2.10397,0.000258582,, , 0.476667,1.54823,0.249511,8.74862,4.69842,6.41558,0.0411361,0.0584488,0.186607,0.0761984,0.0163153,0.0118465,0.284231,2.10397,0.000258582,3.46485
5,1.53228,1.55314,7.03696,0.0846187,0.0883083,0.0898088,7.66537,0.000984735,0.276581,0.297437,5.50114,0.0821106,0.0487523,0.0502528,0.75153,0.00046282,, , 0.17526,0.307138,0.0916197,6.2831,1.66068,5.50114,0.0821106,0.116473,0.0689973,0.024022,0.00598585,0.017688,0.0855392,0.75153,0.00046282,6.90454
6,2.44953,2.49356,8.43894,0.16896,0.151646,0.155046,15.2772,0.00124452,0.452803,0.49683,5.50157,0.163944,0.0976367,0.101037,1.44977,0.00112634,, , 0.359114,0.409594,0.180924,11.9572,2.76674,5.50157,0.163944,0.232886,0.140021,0.0467762,0.011876,0.0313899,0.125166,1.44977,0.00112634,13.8055
7,0.470117,0.471259,9.57551,0.284755,0.0296665,0.0299957,49.3627,0.000251536,0.385879,0.387022,0.0130129,0.267671,0.0163408,0.01667,0.199939,3.43119e-05,, , 0.0101181,0.757676,0.00510665,12.0326,0.287429,0.0130129,0.267671,0.827824,0.0135016,0.0183357,0.00117346,0.107445,0.0520212,0.199939,3.43119e-05,49.0734
8,0.0286169,0.0287534,0.0180947,0.000949919,0.00053937,0.000545264,0.0602488,3.79567e-07,0.0019809,0.0021174,0.00212378,0.000929064,8.75172e-05,9.34109e-05,0.000229629,1.144e-07,, , 0.00126458,0.00218914,0.000644581,0.0803593,0.0212412,0.00212378,0.000929064,0.00101147,7.36722e-05,8.89254e-05,1.83304e-05,0.000321226,0.00074128,0.000229629,1.144e-07,0.0599602
Total,37.9558,30.1999,53.2713,0.615699,1.29747,1.23913,84.3926,0.00438391,6.91814,7.00772,34.6995,0.588868,0.563703,0.559812,8.34878,0.00195006,, , 1.8547,11.0806,0.990543,66.3248,24.208,34.6995,0.588868,1.2825,0.719722,0.339823,0.0639698,0.186405,1.4432,8.34878,0.00195006,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.121,0.00819385,1.51112,19.4655,0.0203193,3.74732
