Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.9614,0,1.81752,0.00102654,0.0727756,0,0.111504,8.49648e-06,0.115952,0,1.23285,0.0010195,0.0183297,0,0.0876581,8.40699e-06,, , 0.0678496,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.013497,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.40699e-06,0.0585562
2,15.125,15.1825,11.3422,0.0107578,0.501644,0.505334,3.50291,0.000277717,3.68428,3.74179,9.61568,0.0104442,0.175818,0.179508,2.63446,1.68956e-05,, , 0.533447,6.59864,0.293982,15.1163,9.97854,9.61568,0.0104442,0.0155217,0.20721,0.129148,0.0189677,0.00853657,0.640836,2.63446,1.68956e-05,0.920125
3,4.20556,4.23067,7.27578,0.0220804,0.174111,0.175516,2.87844,5.30578e-05,0.891374,0.916479,6.41762,0.0214534,0.0704687,0.0718732,1.14891,4.78552e-06,, , 0.230049,1.44982,0.127988,5.23262,3.22802,6.41762,0.0214534,0.0293457,0.0922683,0.0417726,0.00830109,0.00755516,0.204585,1.14891,4.78552e-06,1.73961
4,6.18309,6.23976,7.76637,0.0424348,0.280326,0.284341,5.56198,0.000931837,1.1091,1.16577,6.41555,0.0411807,0.137816,0.141831,2.10397,0.000225572,, , 0.477129,1.54823,0.249511,8.74862,4.69842,6.41555,0.0411807,0.0584488,0.187136,0.0761984,0.0163123,0.0118465,0.284231,2.10397,0.000225572,3.46485
5,1.53377,1.55462,7.0362,0.0819112,0.0887247,0.0904118,7.63872,0.000691884,0.278063,0.29892,5.50038,0.079403,0.0491688,0.0508558,0.724886,0.000316395,, , 0.178225,0.307138,0.0916197,6.2831,1.66068,5.50038,0.079403,0.116473,0.0700553,0.024022,0.00594727,0.017688,0.0855392,0.724886,0.000316395,6.90454
6,2.44957,2.4936,8.43888,0.158685,0.150967,0.154399,15.2771,0.000471084,0.452845,0.496873,5.50151,0.153668,0.0969576,0.10039,1.44977,0.000352895,, , 0.3592,0.409594,0.180924,11.9572,2.76674,5.50151,0.153668,0.232886,0.138702,0.0467762,0.0118694,0.0313899,0.125166,1.44977,0.000352895,13.8055
7,0.470088,0.47123,9.57554,0.234965,0.0295381,0.0298601,49.3644,0.000242227,0.38585,0.386992,0.013042,0.217881,0.0162124,0.0165344,0.201691,2.50022e-05,, , 0.010059,0.757676,0.00510665,12.0326,0.287429,0.013042,0.217881,0.827824,0.0132362,0.0183357,0.00117494,0.107445,0.0520212,0.201691,2.50022e-05,49.0734
8,0.0286174,0.0287539,0.0180469,0.00086057,0.000539297,0.000545375,0.0602466,3.67459e-07,0.00198135,0.00211786,0.00207601,0.000839715,8.74435e-05,9.35217e-05,0.000227484,1.02293e-07,, , 0.00126549,0.00218914,0.000644581,0.0803593,0.0212412,0.00207601,0.000839715,0.00101147,7.37476e-05,8.89254e-05,1.82922e-05,0.000321226,0.00074128,0.000227484,1.02293e-07,0.0599602
Total,37.9571,30.2011,53.2705,0.552721,1.29863,1.24041,84.3954,0.00267667,6.91944,7.00894,34.6987,0.52589,0.564859,0.561085,8.35158,0.000950055,, , 1.85722,11.0806,0.990543,66.3248,24.208,34.6987,0.52589,1.2825,0.722179,0.339823,0.0639423,0.186405,1.4432,8.35158,0.000950055,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12091,0.00819796,1.51188,19.4569,0.0203446,3.75199
