Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96157,0,1.81752,0.000857788,0.0728101,0,0.111504,7.61187e-06,0.116121,0,1.23285,0.000850749,0.0183642,0,0.0876581,7.52237e-06,, , 0.0680188,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.000850749,0.000987789,0.0135315,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.52237e-06,0.0585562
2,15.125,15.1825,11.3424,0.00105191,0.502872,0.506475,3.50292,8.74914e-06,3.6843,3.7418,9.61586,0.000738398,0.177046,0.180649,2.63448,8.51457e-08,, , 0.533479,6.59864,0.293982,15.1163,9.97854,9.61586,0.000738398,0.0155217,0.209562,0.129148,0.0189858,0.00853657,0.640836,2.63448,8.51457e-08,0.920125
3,4.20476,4.22986,7.27746,0.00433829,0.174375,0.175365,2.93875,1.78106e-05,0.890571,0.915675,6.41929,0.00371126,0.0707328,0.0717224,1.20922,3.79628e-07,, , 0.228442,1.44982,0.127988,5.23262,3.22802,6.41929,0.00371126,0.0293457,0.0922957,0.0417726,0.0083869,0.00755516,0.204585,1.20922,3.79628e-07,1.73961
4,6.18018,6.23686,7.76714,0.00812994,0.28041,0.284042,5.63442,3.23562e-05,1.10619,1.16287,6.41632,0.00687589,0.1379,0.141532,2.17641,7.02234e-07,, , 0.471321,1.54823,0.249511,8.74862,4.69842,6.41632,0.00687589,0.0584488,0.186842,0.0761984,0.0163914,0.0118465,0.284231,2.17641,7.02234e-07,3.46485
5,1.53124,1.5521,7.03708,0.0236329,0.0882552,0.0897256,7.66537,6.36192e-05,0.275539,0.296395,5.50126,0.0211248,0.0486992,0.0501696,0.751533,2.26235e-06,, , 0.173176,0.307138,0.0916197,6.2831,1.66068,5.50126,0.0211248,0.116473,0.0688548,0.024022,0.00599207,0.017688,0.0855392,0.751533,2.26235e-06,6.90454
6,2.44694,2.49097,8.43922,0.0434292,0.151377,0.154639,15.2949,0.000122203,0.450215,0.494243,5.50185,0.0384129,0.0973683,0.10063,1.46754,4.01448e-06,, , 0.35394,0.409594,0.180924,11.9572,2.76674,5.50185,0.0384129,0.232886,0.139318,0.0467762,0.0119046,0.0313899,0.125166,1.46754,4.01448e-06,13.8055
7,0.470069,0.471211,9.57562,0.0275348,0.0297517,0.030054,49.3679,0.00021899,0.385831,0.386973,0.0131218,0.0104503,0.016426,0.0167283,0.205196,1.76522e-06,, , 0.0100218,0.757676,0.00510665,12.0326,0.287429,0.0131218,0.0104503,0.827824,0.0136396,0.0183357,0.00117902,0.107445,0.0520212,0.205196,1.76522e-06,49.0734
8,0.0286225,0.028759,0.0180969,8.42459e-05,0.000539394,0.00054528,0.0602488,2.81305e-07,0.00198645,0.00212295,0.00212598,6.33908e-05,8.75412e-05,9.34264e-05,0.000229629,1.61386e-08,, , 0.00127568,0.00218914,0.000644581,0.0803593,0.0212412,0.00212598,6.33908e-05,0.00101147,7.371e-05,8.89254e-05,1.83322e-05,0.000321226,0.00074128,0.000229629,1.61386e-08,0.0599602
Total,37.9484,30.1923,53.2745,0.109059,1.30039,1.24085,84.5761,0.000471621,6.91075,7.00008,34.7027,0.0822277,0.566624,0.561525,8.53226,1.67476e-05,, , 1.83967,11.0806,0.990543,66.3248,24.208,34.7027,0.0822277,1.2825,0.724116,0.339823,0.0642094,0.186405,1.4432,8.53226,1.67476e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11651,0.00822881,1.51757,19.0904,0.0205357,3.78722
