Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96135,0,1.81752,0.00102654,0.0727662,0,0.111504,6.11077e-06,0.115903,0,1.23285,0.0010195,0.0183203,0,0.0876581,6.02127e-06,, , 0.0678008,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134876,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.02127e-06,0.0585562
2,15.1236,15.1811,11.3421,0.0105273,0.500629,0.504386,3.47522,0.000823752,3.68288,3.74038,9.61555,0.0102137,0.174804,0.17856,2.60678,5.10228e-05,, , 0.530639,6.59864,0.293982,15.1163,9.97854,9.61555,0.0102137,0.0155217,0.205262,0.129148,0.0189539,0.00853657,0.640836,2.60678,5.10228e-05,0.920125
3,4.20711,4.23221,7.27447,0.0219123,0.173704,0.175434,2.83017,0.000319969,0.89292,0.918024,6.4163,0.0212853,0.0700614,0.0717916,1.10064,3.81495e-05,, , 0.233139,1.44982,0.127988,5.23262,3.22802,6.4163,0.0212853,0.0293457,0.0918467,0.0417726,0.00823375,0.00755516,0.204585,1.10064,3.81495e-05,1.73961
4,6.18041,6.23708,7.76679,0.0423263,0.277976,0.281783,5.61027,0.00115435,1.10642,1.16309,6.41597,0.0410723,0.135466,0.139273,2.15226,0.000281202,, , 0.471774,1.54823,0.249511,8.74862,4.69842,6.41597,0.0410723,0.0584488,0.182186,0.0761984,0.0163552,0.0118465,0.284231,2.15226,0.000281202,3.46485
5,1.53066,1.55152,7.03785,0.0823408,0.0879575,0.0892378,7.68313,0.00100507,0.274956,0.295812,5.50203,0.0798327,0.0484015,0.0496819,0.76929,0.000472989,, , 0.172011,0.307138,0.0916197,6.2831,1.66068,5.50203,0.0798327,0.116473,0.06803,0.024022,0.00603137,0.017688,0.0855392,0.76929,0.000472989,6.90454
6,2.44727,2.49129,8.44002,0.160904,0.150579,0.153445,15.3482,0.000781393,0.450538,0.494566,5.50265,0.155888,0.0965704,0.0994358,1.52081,0.000663204,, , 0.354585,0.409594,0.180924,11.9572,2.76674,5.50265,0.155888,0.232886,0.137243,0.0467762,0.0119866,0.0313899,0.125166,1.52081,0.000663204,13.8055
7,0.470056,0.471198,9.57551,0.287103,0.0298041,0.030133,49.3627,0.000254553,0.385819,0.386961,0.0130142,0.270018,0.0164784,0.0168073,0.199939,3.73286e-05,, , 0.00999641,0.757676,0.00510665,12.0326,0.287429,0.0130142,0.270018,0.827824,0.0137765,0.0183357,0.00117352,0.107445,0.0520212,0.199939,3.73286e-05,49.0734
8,0.0286178,0.0287543,0.0180595,0.000907581,0.0005393,0.00054533,0.0602466,3.65027e-07,0.00198173,0.00211824,0.00208864,0.000886726,8.74474e-05,9.34768e-05,0.000227485,9.98608e-08,, , 0.00126625,0.00218914,0.000644581,0.0803593,0.0212412,0.00208864,0.000886726,0.00101147,7.36964e-05,8.89254e-05,1.83023e-05,0.000321226,0.00074128,0.000227485,9.98608e-08,0.0599602
Total,37.9491,30.1932,53.2723,0.607048,1.29396,1.23496,84.4814,0.00434557,6.91141,7.00096,34.7005,0.580216,0.560189,0.555643,8.43761,0.00155002,, , 1.84121,11.0806,0.990543,66.3248,24.208,34.7005,0.580216,1.2825,0.711906,0.339823,0.064104,0.186405,1.4432,8.43761,0.00155002,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11902,0.00819527,1.51138,19.301,0.0203281,3.74893
