Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96141,0,1.81752,0.00103279,0.0727776,0,0.111504,6.13072e-06,0.115963,0,1.23285,0.00102575,0.0183317,0,0.0876581,6.04122e-06,, , 0.0678607,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00102575,0.000987789,0.013499,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.04122e-06,0.0585562
2,15.1256,15.1831,11.3423,0.0107636,0.501808,0.505432,3.50292,0.00129449,3.68486,3.74237,9.61582,0.0104501,0.175982,0.179606,2.63447,8.04441e-05,, , 0.534606,6.59864,0.293982,15.1163,9.97854,9.61582,0.0104501,0.0155217,0.207459,0.129148,0.0189814,0.00853657,0.640836,2.63447,8.04441e-05,0.920125
3,4.20598,4.23108,7.27555,0.0221954,0.174093,0.175556,2.86638,0.00035177,0.891793,0.916898,6.41738,0.0215684,0.0704508,0.0719135,1.13685,4.21245e-05,, , 0.230887,1.44982,0.127988,5.23262,3.22802,6.41738,0.0215684,0.0293457,0.0923027,0.0417726,0.00828907,0.00755516,0.204585,1.13685,4.21245e-05,1.73961
4,6.18245,6.23913,7.76641,0.042978,0.280219,0.28421,5.56199,0.0014401,1.10846,1.16513,6.4156,0.041724,0.137708,0.1417,2.10397,0.000352638,, , 0.475858,1.54823,0.249511,8.74862,4.69842,6.4156,0.041724,0.0584488,0.186893,0.0761984,0.016317,0.0118465,0.284231,2.10397,0.000352638,3.46485
5,1.53366,1.55451,7.03663,0.0846634,0.0885509,0.0901324,7.65649,0.00120132,0.277952,0.298809,5.50081,0.0821553,0.0489949,0.0505764,0.742649,0.000571113,, , 0.178003,0.307138,0.0916197,6.2831,1.66068,5.50081,0.0821553,0.116473,0.0695802,0.024022,0.0059691,0.017688,0.0855392,0.742649,0.000571113,6.90454
6,2.44862,2.49265,8.43895,0.145654,0.151515,0.154911,15.2772,0.000235147,0.451891,0.495919,5.50158,0.140638,0.0975065,0.100902,1.44977,0.000116958,, , 0.357291,0.409594,0.180924,11.9572,2.76674,5.50158,0.140638,0.232886,0.139755,0.0467762,0.011877,0.0313899,0.125166,1.44977,0.000116958,13.8055
7,0.470179,0.471321,9.57546,0.181437,0.0296986,0.0300393,49.3609,0.00023462,0.385942,0.387084,0.0129667,0.164353,0.0163729,0.0167135,0.198186,1.73952e-05,, , 0.0102421,0.757676,0.00510665,12.0326,0.287429,0.0129667,0.164353,0.827824,0.0135797,0.0183357,0.00117109,0.107445,0.0520212,0.198186,1.73952e-05,49.0734
8,0.0286127,0.0287492,0.0181084,0.000868478,0.00053939,0.000545231,0.0602509,3.66318e-07,0.00197671,0.00211322,0.00213751,0.000847623,8.75374e-05,9.33781e-05,0.000231771,1.01151e-07,, , 0.00125621,0.00218914,0.000644581,0.0803593,0.0212412,0.00213751,0.000847623,0.00101147,7.36486e-05,8.89254e-05,1.83414e-05,0.000321226,0.00074128,0.000231771,1.01151e-07,0.0599602
Total,37.9565,30.2005,53.271,0.489593,1.2992,1.24083,84.3976,0.00476395,6.91884,7.00832,34.6991,0.462761,0.565435,0.561505,8.35379,0.00118682,, , 1.856,11.0806,0.990543,66.3248,24.208,34.6991,0.462761,1.2825,0.723142,0.339823,0.0639743,0.186405,1.4432,8.35379,0.00118682,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12078,0.00820226,1.51267,19.4498,0.0203711,3.75687
