Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96157,0,1.81752,0.000707788,0.0728108,0,0.111504,2.63172e-06,0.116123,0,1.23285,0.000700749,0.0183649,0,0.0876581,2.54223e-06,, , 0.068021,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.000700749,0.000987789,0.0135322,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,2.54223e-06,0.0585562
2,15.1256,15.1831,11.3423,0.00160818,0.502708,0.506355,3.50292,9.60623e-06,3.68488,3.74238,9.61577,0.00129467,0.176883,0.180529,2.63447,1.38714e-07,, , 0.53464,6.59864,0.293982,15.1163,9.97854,9.61577,0.00129467,0.0155217,0.209288,0.129148,0.0189767,0.00853657,0.640836,2.63447,1.38714e-07,0.920125
3,4.20459,4.22969,7.27779,0.00326657,0.174507,0.175417,2.95081,1.70924e-05,0.890401,0.915506,6.41962,0.00263955,0.0708645,0.0717745,1.22128,2.89842e-07,, , 0.228103,1.44982,0.127988,5.23262,3.22802,6.41962,0.00263955,0.0293457,0.0924631,0.0417726,0.00840337,0.00755516,0.204585,1.22128,2.89842e-07,1.73961
4,6.17865,6.23532,7.76738,0.00755362,0.280276,0.283791,5.65856,3.21882e-05,1.10466,1.16133,6.41656,0.00629956,0.137766,0.141281,2.20054,6.60244e-07,, , 0.468251,1.54823,0.249511,8.74862,4.69842,6.41656,0.00629956,0.0584488,0.186433,0.0761984,0.0164156,0.0118465,0.284231,2.20054,6.60244e-07,3.46485
5,1.53105,1.55191,7.03719,0.0305856,0.0882069,0.0896512,7.66537,6.55381e-05,0.27535,0.296207,5.50136,0.0280775,0.0486509,0.0500953,0.751535,3.22181e-06,, , 0.172799,0.307138,0.0916197,6.2831,1.66068,5.50136,0.0280775,0.116473,0.0687267,0.024022,0.00599746,0.017688,0.0855392,0.751535,3.22181e-06,6.90454
6,2.4459,2.48993,8.4394,0.0275823,0.151151,0.154323,15.3127,0.000120587,0.449174,0.493202,5.50203,0.022566,0.0971425,0.100314,1.4853,2.39852e-06,, , 0.351857,0.409594,0.180924,11.9572,2.76674,5.50203,0.022566,0.232886,0.138757,0.0467762,0.0119232,0.0313899,0.125166,1.4853,2.39852e-06,13.8055
7,0.470065,0.471207,9.5757,0.0199246,0.0297282,0.0300089,49.3732,0.000218132,0.385828,0.38697,0.013209,0.00284008,0.0164025,0.0166832,0.21045,9.0777e-07,, , 0.0100144,0.757676,0.00510665,12.0326,0.287429,0.013209,0.00284008,0.827824,0.0135666,0.0183357,0.00118348,0.107445,0.0520212,0.21045,9.0777e-07,49.0734
8,0.0286214,0.0287579,0.0180941,5.26136e-05,0.000539412,0.000545308,0.0602488,2.76629e-07,0.00198535,0.00212185,0.00212323,3.17584e-05,8.7559e-05,9.34548e-05,0.000229629,1.14627e-08,, , 0.00127348,0.00218914,0.000644581,0.0803593,0.0212412,0.00212323,3.17584e-05,0.00101147,7.37584e-05,8.89254e-05,1.833e-05,0.000321226,0.00074128,0.000229629,1.14627e-08,0.0599602
Total,37.946,30.1899,53.2754,0.0912813,1.29993,1.24009,84.6353,0.000466053,6.90839,6.99772,34.7035,0.0644499,0.566162,0.560771,8.59146,1.01706e-05,, , 1.83496,11.0806,0.990543,66.3248,24.208,34.7035,0.0644499,1.2825,0.72284,0.339823,0.0642695,0.186405,1.4432,8.59146,1.01706e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.1151,0.00823028,1.51784,18.9765,0.0205448,3.7889
