Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96137,0,1.81752,0.00102654,0.0727695,0,0.111504,8.49389e-06,0.115918,0,1.23285,0.0010195,0.0183236,0,0.0876581,8.4044e-06,, , 0.0678154,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134909,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.4044e-06,0.0585562
2,15.1252,15.1827,11.3421,0.0110058,0.500576,0.504309,3.47523,3.88567e-05,3.68448,3.74199,9.6156,0.0106923,0.174751,0.178483,2.60678,1.96687e-06,, , 0.53385,6.59864,0.293982,15.1163,9.97854,9.6156,0.0106923,0.0155217,0.205127,0.129148,0.018959,0.00853657,0.640836,2.60678,1.96687e-06,0.920125
3,4.20585,4.23096,7.27561,0.0211818,0.174067,0.175514,2.86638,0.00117105,0.891668,0.916773,6.41744,0.0205547,0.0704242,0.0718711,1.13685,0.000144535,, , 0.230637,1.44982,0.127988,5.23262,3.22802,6.41744,0.0205547,0.0293457,0.0922304,0.0417726,0.00829234,0.00755516,0.204585,1.13685,0.000144535,1.73961
4,6.18197,6.23865,7.76659,0.0431345,0.279791,0.283694,5.58613,0.00166089,1.10798,1.16465,6.41577,0.0418804,0.137281,0.141184,2.12812,0.000407836,, , 0.474897,1.54823,0.249511,8.74862,4.69842,6.41577,0.0418804,0.0584488,0.185931,0.0761984,0.0163353,0.0118465,0.284231,2.12812,0.000407836,3.46485
5,1.53242,1.55328,7.03669,0.0822223,0.0884075,0.089974,7.65649,0.000759805,0.276719,0.297576,5.50087,0.0797142,0.0488515,0.0504181,0.74265,0.000350355,, , 0.175537,0.307138,0.0916197,6.2831,1.66068,5.50087,0.0797142,0.116473,0.0692754,0.024022,0.00597219,0.017688,0.0855392,0.74265,0.000350355,6.90454
6,2.44829,2.49232,8.43895,0.160992,0.151121,0.154518,15.2772,0.000549776,0.451564,0.495592,5.50158,0.155976,0.0971125,0.100509,1.44977,0.000431587,, , 0.356638,0.409594,0.180924,11.9572,2.76674,5.50158,0.155976,0.232886,0.138969,0.0467762,0.0118767,0.0313899,0.125166,1.44977,0.000431587,13.8055
7,0.470113,0.471255,9.57542,0.31015,0.0295555,0.0299061,49.3592,0.00025838,0.385875,0.387017,0.0129264,0.293066,0.0162298,0.0165804,0.196432,4.1156e-05,, , 0.0101092,0.757676,0.00510665,12.0326,0.287429,0.0129264,0.293066,0.827824,0.0133054,0.0183357,0.00116903,0.107445,0.0520212,0.196432,4.1156e-05,49.0734
8,0.0286157,0.0287522,0.0180403,0.000959404,0.000539227,0.000545331,0.0602466,3.80936e-07,0.0019797,0.0021162,0.00206942,0.000938548,8.73738e-05,9.34774e-05,0.000227484,1.1577e-07,, , 0.00126218,0.00218914,0.000644581,0.0803593,0.0212412,0.00206942,0.000938548,0.00101147,7.36388e-05,8.89254e-05,1.8287e-05,0.000321226,0.00074128,0.000227484,1.1577e-07,0.0599602
Total,37.9538,30.1979,53.271,0.630673,1.29683,1.23846,84.3923,0.00444764,6.91619,7.00572,34.6991,0.603841,0.563061,0.559139,8.34849,0.00138596,, , 1.85075,11.0806,0.990543,66.3248,24.208,34.6991,0.603841,1.2825,0.718402,0.339823,0.0639742,0.186405,1.4432,8.34849,0.00138596,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12103,0.00819314,1.51099,19.47,0.0203149,3.74651
