Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96154,0,1.81752,0.000795288,0.0728055,0,0.111504,6.63072e-06,0.116096,0,1.23285,0.000788249,0.0183596,0,0.0876581,6.54122e-06,, , 0.0679936,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.000788249,0.000987789,0.0135269,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.54122e-06,0.0585562
2,15.1254,15.1829,11.3422,0.00118194,0.502731,0.506405,3.50291,8.9378e-06,3.68471,3.74222,9.61572,0.000868427,0.176905,0.180579,2.63447,9.69369e-08,, , 0.53431,6.59864,0.293982,15.1163,9.97854,9.61572,0.000868427,0.0155217,0.209366,0.129148,0.018971,0.00853657,0.640836,2.63447,9.69369e-08,0.920125
3,4.20454,4.22964,7.27791,0.00288892,0.174532,0.175411,2.95081,1.6723e-05,0.890352,0.915457,6.41974,0.00226189,0.0708892,0.071768,1.22128,2.4367e-07,, , 0.228004,1.44982,0.127988,5.23262,3.22802,6.41974,0.00226189,0.0293457,0.0924748,0.0417726,0.00840982,0.00755516,0.204585,1.22128,2.4367e-07,1.73961
4,6.1796,6.23627,7.76751,0.0102983,0.280278,0.283725,5.65857,3.31314e-05,1.10561,1.16228,6.4167,0.0090442,0.137768,0.141215,2.20055,8.96045e-07,, , 0.470148,1.54823,0.249511,8.74862,4.69842,6.4167,0.0090442,0.0584488,0.186355,0.0761984,0.0164297,0.0118465,0.284231,2.20055,8.96045e-07,3.46485
5,1.53078,1.55163,7.03732,0.00447715,0.0881553,0.0895652,7.67425,5.96877e-05,0.275075,0.295931,5.5015,0.00196904,0.0485993,0.0500092,0.760409,2.96588e-07,, , 0.172248,0.307138,0.0916197,6.2831,1.66068,5.5015,0.00196904,0.116473,0.0685819,0.024022,0.00600458,0.017688,0.0855392,0.760409,2.96588e-07,6.90454
6,2.44565,2.48968,8.43951,0.0429543,0.151132,0.154249,15.3127,0.0001221,0.448922,0.49295,5.50214,0.0379381,0.097123,0.10024,1.4853,3.91095e-06,, , 0.351353,0.409594,0.180924,11.9572,2.76674,5.50214,0.0379381,0.232886,0.138653,0.0467762,0.0119345,0.0313899,0.125166,1.4853,3.91095e-06,13.8055
7,0.470051,0.471193,9.57572,0.0288083,0.0297166,0.0299934,49.3732,0.000219112,0.385813,0.386955,0.0132247,0.0117237,0.0163909,0.0166677,0.210451,1.88733e-06,, , 0.00998485,0.757676,0.00510665,12.0326,0.287429,0.0132247,0.0117237,0.827824,0.0135387,0.0183357,0.00118429,0.107445,0.0520212,0.210451,1.88733e-06,49.0734
8,0.0286253,0.0287618,0.0180771,0.000126442,0.000539372,0.000545333,0.0602488,2.85797e-07,0.00198928,0.00212578,0.00210621,0.000105587,8.75185e-05,9.348e-05,0.000229628,2.06304e-08,, , 0.00128135,0.00218914,0.000644581,0.0803593,0.0212412,0.00210621,0.000105587,0.00101147,7.37567e-05,8.89254e-05,1.83164e-05,0.000321226,0.00074128,0.000229628,2.06304e-08,0.0599602
Total,37.9462,30.1901,53.2758,0.0915306,1.29989,1.23989,84.6442,0.000466608,6.90856,6.99792,34.704,0.0646992,0.566123,0.560573,8.60035,1.38934e-05,, , 1.83532,11.0806,0.990543,66.3248,24.208,34.704,0.0646992,1.2825,0.722569,0.339823,0.0643035,0.186405,1.4432,8.60035,1.38934e-05,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11489,0.0082302,1.51783,18.9596,0.0205444,3.78882
