Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96134,0,1.81752,0.00103279,0.0727644,0,0.111504,8.91555e-06,0.115889,0,1.23285,0.00102575,0.0183185,0,0.0876581,8.82606e-06,, , 0.0677864,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00102575,0.000987789,0.0134858,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,8.82606e-06,0.0585562
2,15.1258,15.1833,11.3419,0.0103925,0.499633,0.503486,3.47521,0.000434393,3.68505,3.74255,9.61535,0.010079,0.173807,0.177661,2.60676,2.66879e-05,, , 0.53498,6.59864,0.293982,15.1163,9.97854,9.61535,0.010079,0.0155217,0.203386,0.129148,0.018934,0.00853657,0.640836,2.60676,2.66879e-05,0.920125
3,4.20547,4.23057,7.27607,0.0220922,0.174107,0.17544,2.89051,0.000804671,0.89128,0.916385,6.4179,0.0214652,0.0704642,0.0717975,1.16098,9.87371e-05,, , 0.229861,1.44982,0.127988,5.23262,3.22802,6.4179,0.0214652,0.0293457,0.0921733,0.0417726,0.00831583,0.00755516,0.204585,1.16098,9.87371e-05,1.73961
4,6.18302,6.2397,7.76646,0.0420849,0.28006,0.28403,5.58612,0.000972679,1.10903,1.1657,6.41564,0.0408308,0.13755,0.14152,2.12811,0.000235783,, , 0.476997,1.54823,0.249511,8.74862,4.69842,6.41564,0.0408308,0.0584488,0.186549,0.0761984,0.0163214,0.0118465,0.284231,2.12811,0.000235783,3.46485
5,1.53358,1.55444,7.03646,0.0722321,0.0885831,0.0902071,7.64761,0.000173286,0.277879,0.298736,5.50064,0.069724,0.0490272,0.0506512,0.73377,5.70958e-05,, , 0.177857,0.307138,0.0916197,6.2831,1.66068,5.50064,0.069724,0.116473,0.069696,0.024022,0.0059603,0.017688,0.0855392,0.73377,5.70958e-05,6.90454
6,2.44843,2.49246,8.43874,0.167575,0.150545,0.154044,15.2771,0.00116887,0.451699,0.495727,5.50137,0.162558,0.0965358,0.100035,1.44976,0.00105068,, , 0.356907,0.409594,0.180924,11.9572,2.76674,5.50137,0.162558,0.232886,0.13794,0.0467762,0.0118554,0.0313899,0.125166,1.44976,0.00105068,13.8055
7,0.470095,0.471237,9.57551,0.159885,0.0294535,0.0297823,49.3627,0.000231915,0.385858,0.387,0.0130147,0.1428,0.0161278,0.0164566,0.199939,1.46901e-05,, , 0.0100741,0.757676,0.00510665,12.0326,0.287429,0.0130147,0.1428,0.827824,0.0130752,0.0183357,0.00117355,0.107445,0.0520212,0.199939,1.46901e-05,49.0734
8,0.0286093,0.0287458,0.0180623,0.000840202,0.000539265,0.000545284,0.0602466,3.63057e-07,0.00197325,0.00210975,0.00209138,0.000819347,8.74116e-05,9.34304e-05,0.000227485,9.78901e-08,, , 0.00124928,0.00218914,0.000644581,0.0803593,0.0212412,0.00209138,0.000819347,0.00101147,7.36121e-05,8.89254e-05,1.83045e-05,0.000321226,0.00074128,0.000227485,9.78901e-08,0.0599602
Total,37.9563,30.2004,53.2707,0.476134,1.29568,1.23754,84.411,0.00379509,6.91865,7.00821,34.6989,0.449303,0.561918,0.558214,8.3672,0.0014926,, , 1.85571,11.0806,0.990543,66.3248,24.208,34.6989,0.449303,1.2825,0.716379,0.339823,0.0639301,0.186405,1.4432,8.3672,0.0014926,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12064,0.00820321,1.51285,19.4356,0.020377,3.75795
