L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
37.9526,30.1967,53.2709,0.643529,1.29624,1.23796,84.3845,0.00274398,6.91497,7.00455,34.6991,0.616697,0.56247,0.558639,8.34067,0.00138375,2.12129,1.51086,19.4884,3.74572
37.9515,30.1956,53.2719,0.543068,1.29784,1.23918,84.4639,0.00375036,6.91385,7.00337,34.7001,0.516237,0.564078,0.559863,8.42014,0.000959698,2.11926,1.51212,19.3212,3.75347
37.954,30.1982,53.2712,0.596959,1.29807,1.23971,84.3689,0.00351777,6.91639,7.00595,34.6993,0.570128,0.564303,0.560389,8.32505,0.001029,2.12157,1.5114,19.5139,3.74903
37.9504,30.1945,53.2721,0.561083,1.29879,1.23999,84.4502,0.00447442,6.91279,7.00227,34.7003,0.534251,0.565025,0.560673,8.40635,0.0018416,2.11954,1.51192,19.3438,3.75225
37.9536,30.1977,53.272,0.560594,1.2978,1.23915,84.4416,0.00352614,6.91597,7.0055,34.7001,0.533763,0.564037,0.55983,8.39783,0.00126055,2.11981,1.51185,19.366,3.7518
37.9526,30.1967,53.2719,0.586928,1.29773,1.23911,84.4178,0.00472147,6.915,7.00455,34.7,0.560096,0.563965,0.559791,8.37402,0.0017799,2.12037,1.51155,19.4137,3.74995
37.9524,30.1964,53.2713,0.602664,1.29775,1.23943,84.4121,0.004924,6.91471,7.00424,34.6994,0.575833,0.563986,0.560111,8.36828,0.0013604,2.12049,1.51137,19.4256,3.74884
37.9518,30.1959,53.2717,0.596056,1.29774,1.23911,84.4501,0.00516679,6.91418,7.00368,34.6998,0.569225,0.563975,0.559785,8.40633,0.00210084,2.11957,1.51146,19.3472,3.7494
37.954,30.1981,53.2713,0.624158,1.29755,1.23909,84.4118,0.00512329,6.91638,7.00593,34.6995,0.597326,0.563786,0.559774,8.36801,0.00171849,2.12051,1.51106,19.4265,3.74695
37.9537,30.1978,53.272,0.671604,1.29734,1.23872,84.4345,0.00402194,6.91609,7.00564,34.7001,0.644772,0.563578,0.559396,8.39071,0.00172122,2.12,1.51047,19.3814,3.74333
37.953,30.1971,53.2714,0.687316,1.29734,1.23886,84.4224,0.00500811,6.91539,7.00495,34.6995,0.660485,0.563572,0.559536,8.37863,0.00113404,2.12026,1.5103,19.4069,3.74229
37.954,30.198,53.2713,0.538658,1.29688,1.23844,84.4079,0.00431335,6.91631,7.00584,34.6994,0.511827,0.563115,0.559116,8.36406,0.000777936,2.12066,1.51212,19.4392,3.75348
37.9528,30.1968,53.2718,0.6362,1.29772,1.23908,84.4242,0.00528951,6.91513,7.00463,34.6999,0.609369,0.563953,0.559764,8.38041,0.00131169,2.1202,1.51094,19.4017,3.74619
37.9549,30.1989,53.2717,0.56166,1.29806,1.23953,84.4394,0.00439147,6.91721,7.00674,34.6999,0.534829,0.564293,0.560214,8.39563,0.00193472,2.11983,1.51181,19.3678,3.75156
37.9532,30.1973,53.2713,0.619374,1.29766,1.23927,84.4203,0.00374026,6.91559,7.00511,34.6994,0.592542,0.563895,0.559951,8.37647,0.00126107,2.12033,1.51114,19.4096,3.74744
37.9518,30.1959,53.2716,0.550243,1.29799,1.23943,84.4225,0.00342695,6.9142,7.00373,34.6998,0.523412,0.564223,0.560104,8.37865,0.00146268,2.12027,1.51203,19.4037,3.75289
37.9536,30.1977,53.2717,0.64397,1.29771,1.23916,84.4132,0.0048653,6.91599,7.00548,34.6998,0.617138,0.563948,0.559841,8.36937,0.00175007,2.12048,1.51082,19.4232,3.74547
37.9519,30.196,53.2719,0.529151,1.29925,1.24056,84.4622,0.00464405,6.91429,7.00377,34.7001,0.50232,0.565482,0.56124,8.41839,0.00162571,2.11921,1.51228,19.3177,3.75447
37.9512,30.1953,53.2719,0.513214,1.29779,1.23908,84.4622,0.00340441,6.91357,7.00307,34.7001,0.486383,0.564027,0.559758,8.41839,0.00110931,2.11932,1.5125,19.3247,3.7558
37.9538,30.1979,53.2719,0.570891,1.29857,1.23981,84.4792,0.00490428,6.9162,7.00569,34.7001,0.544059,0.564802,0.560492,8.43541,0.00185184,2.11883,1.51172,19.2858,3.75099
37.9526,30.1966,53.2722,0.580556,1.29914,1.24039,84.4792,0.00443689,6.91494,7.00443,34.7003,0.553725,0.565372,0.561067,8.43539,0.00179388,2.11881,1.51163,19.2836,3.75043
37.9517,30.1958,53.2715,0.596864,1.29769,1.23916,84.4274,0.00495174,6.91406,7.00359,34.6997,0.570033,0.563925,0.559838,8.38357,0.00169982,2.12013,1.51145,19.3943,3.74936
37.9523,30.1963,53.2716,0.530043,1.29879,1.24018,84.4136,0.00495161,6.91461,7.00411,34.6998,0.503211,0.565019,0.560855,8.36978,0.00189935,2.12041,1.51227,19.4178,3.75437
37.9538,30.1979,53.271,0.630673,1.29683,1.23846,84.3923,0.00444764,6.91619,7.00572,34.6991,0.603841,0.563061,0.559139,8.34849,0.00138596,2.12103,1.51099,19.47,3.74651
37.9523,30.1964,53.2717,0.548938,1.29824,1.23969,84.4047,0.00460081,6.91467,7.0042,34.6998,0.522107,0.564471,0.560366,8.36089,0.00150827,2.12066,1.51203,19.4389,3.75292
37.9528,30.1968,53.2712,0.578746,1.29823,1.23981,84.3958,0.00667306,6.91512,7.00462,34.6993,0.551915,0.564459,0.560494,8.352,0.00155106,2.12083,1.51166,19.4568,3.75061
37.9547,30.1988,53.271,0.509263,1.29814,1.23988,84.3837,0.00444968,6.91704,7.00656,34.6992,0.482432,0.564374,0.560556,8.3399,0.000868579,2.12118,1.51247,19.4831,3.75564
37.9527,30.1968,53.2708,0.591954,1.29665,1.23844,84.3681,0.00266002,6.91503,7.00461,34.6989,0.565123,0.562883,0.559122,8.32429,0.000919355,2.12167,1.5115,19.5212,3.74965
37.9553,30.1994,53.2716,0.616631,1.29842,1.23994,84.4373,0.00570296,6.91764,7.00716,34.6997,0.589799,0.564658,0.560622,8.39349,0.00213983,2.11983,1.51112,19.3701,3.74731
37.9552,30.1993,53.2715,0.585441,1.2987,1.24018,84.4153,0.00417601,6.91756,7.00707,34.6996,0.55861,0.564936,0.560861,8.37152,0.00132714,2.12039,1.51151,19.4155,3.74971
37.9528,30.1969,53.2714,0.592152,1.29801,1.23947,84.4413,0.00386452,6.91518,7.00473,34.6996,0.565321,0.564241,0.560144,8.39745,0.000578375,2.1198,1.51149,19.3671,3.74956
37.9537,30.1978,53.2716,0.542597,1.29896,1.24045,84.4199,0.00525923,6.91606,7.00558,34.6998,0.515765,0.565196,0.561129,8.37612,0.00138495,2.12024,1.51208,19.405,3.75319
37.9527,30.1967,53.2714,0.518694,1.29849,1.23998,84.4235,0.0052074,6.91501,7.00452,34.6996,0.491863,0.564723,0.560658,8.37969,0.0011821,2.12018,1.5124,19.4,3.7552
37.9567,30.2008,53.2705,0.67237,1.29838,1.24024,84.3699,0.00511166,6.91906,7.00859,34.6987,0.645539,0.564615,0.560924,8.32608,0.00208399,2.12148,1.51041,19.5078,3.74293
37.9558,30.1999,53.2713,0.615699,1.29747,1.23913,84.3926,0.00438391,6.91814,7.00772,34.6995,0.588868,0.563703,0.559812,8.34878,0.00195006,2.121,1.51112,19.4655,3.74732
37.9553,30.1994,53.2713,0.540365,1.29801,1.23961,84.4096,0.00350103,6.91763,7.00716,34.6995,0.513534,0.564242,0.560286,8.3658,0.00112526,2.12058,1.51207,19.4303,3.75315
37.9539,30.1979,53.2716,0.631134,1.29835,1.23983,84.4185,0.00523613,6.91622,7.00574,34.6998,0.604302,0.564588,0.560508,8.3747,0.00134465,2.1203,1.51097,19.4105,3.74642
37.9557,30.1997,53.2712,0.515504,1.29921,1.24076,84.42,0.00522186,6.91805,7.00752,34.6994,0.488672,0.565443,0.561438,8.37618,0.00117439,2.12022,1.51237,19.4041,3.755
37.9549,30.1989,53.2714,0.532254,1.29843,1.24,84.4132,0.00543973,6.91723,7.00673,34.6995,0.505423,0.564667,0.560678,8.36936,0.00241397,2.12042,1.51218,19.4187,3.75383
37.955,30.1991,53.2709,0.502192,1.29852,1.24015,84.4097,0.003683,6.91735,7.00686,34.6991,0.475361,0.564758,0.56083,8.36587,0.000602535,2.12055,1.51255,19.429,3.75614
37.9533,30.1973,53.2717,0.515775,1.29895,1.24033,84.4533,0.00638272,6.91563,7.00511,34.6999,0.488943,0.56518,0.561013,8.40951,0.00251438,2.1194,1.51242,19.335,3.7553
37.9531,30.1972,53.2712,0.542976,1.29841,1.23996,84.4252,0.0057576,6.91547,7.00498,34.6993,0.516145,0.564639,0.560635,8.38143,0.00135728,2.12012,1.51209,19.3963,3.75329
37.9529,30.197,53.2709,0.625613,1.29847,1.24018,84.4135,0.00501621,6.91521,7.00479,34.699,0.598781,0.564708,0.560857,8.36974,0.00195314,2.12042,1.51108,19.4184,3.74705
37.9531,30.1972,53.2713,0.635857,1.29775,1.23932,84.4032,0.00554853,6.91543,7.00496,34.6995,0.609025,0.563985,0.560003,8.35943,0.00167972,2.1207,1.51094,19.4433,3.7462
37.9546,30.1987,53.2713,0.609292,1.29816,1.23973,84.4359,0.00322216,6.91695,7.00649,34.6995,0.58246,0.564394,0.56041,8.39211,0.00138611,2.11994,1.51123,19.3754,3.74799
37.9566,30.2007,53.2709,0.64399,1.29806,1.23975,84.3887,0.00352558,6.91895,7.00849,34.6991,0.617158,0.564294,0.560429,8.34486,0.000875375,2.12108,1.51076,19.4733,3.74508
37.9536,30.1977,53.2714,0.631264,1.29815,1.23961,84.4491,0.00221727,6.91596,7.0055,34.6996,0.604432,0.564384,0.560288,8.40525,0.00125931,2.11964,1.51098,19.3493,3.74646
37.9531,30.1972,53.2714,0.497492,1.29841,1.23996,84.4079,0.00412692,6.91548,7.00501,34.6996,0.47066,0.564645,0.560638,8.36406,0.000797481,2.12059,1.51265,19.4329,3.75674
37.9546,30.1986,53.2711,0.643389,1.29757,1.23916,84.4217,0.00420033,6.91691,7.00644,34.6993,0.616558,0.563803,0.559835,8.37792,0.00175693,2.12029,1.51081,19.406,3.74542
37.9576,30.2017,53.2708,0.654426,1.29858,1.24038,84.3886,0.00425998,6.91994,7.0095,34.699,0.627595,0.56481,0.561058,8.34483,0.00154042,2.12104,1.5106,19.4697,3.74414
37.9541,30.1982,53.2712,0.535647,1.29869,1.24021,84.4168,0.00430568,6.91646,7.00599,34.6994,0.508815,0.564923,0.560884,8.37295,0.0014549,2.12035,1.51216,19.4123,3.75369
37.9531,30.1972,53.2717,0.537034,1.29845,1.23983,84.4614,0.00502432,6.91545,7.00495,34.6999,0.510202,0.564684,0.560514,8.41764,0.00188354,2.11926,1.51216,19.3218,3.75371
37.9536,30.1977,53.2714,0.555752,1.29874,1.24024,84.4444,0.00480338,6.916,7.00552,34.6995,0.528921,0.564977,0.560922,8.40062,0.00133278,2.11966,1.51192,19.356,3.75222
37.957,30.201,53.2704,0.602838,1.29772,1.23969,84.3457,0.00680055,6.91931,7.00885,34.6985,0.576007,0.563953,0.560367,8.30189,0.0022366,2.12206,1.51126,19.5601,3.7482
37.9562,30.2003,53.2706,0.575824,1.29823,1.23999,84.3788,0.00285367,6.91857,7.00811,34.6988,0.548992,0.564463,0.560667,8.33498,0.00107868,2.12133,1.51161,19.4924,3.75035
37.9557,30.1998,53.2711,0.452482,1.29901,1.24067,84.4061,0.00400013,6.91808,7.00763,34.6992,0.425651,0.565245,0.561347,8.3623,0.000626346,2.1206,1.51315,19.4342,3.75982
37.9558,30.1998,53.2709,0.617335,1.29799,1.23965,84.3922,0.00229459,6.91813,7.00762,34.699,0.590504,0.564224,0.560331,8.34841,0.000852168,2.12103,1.51111,19.4664,3.74724
37.9559,30.2,53.2706,0.617495,1.2982,1.23998,84.3887,0.0024018,6.9183,7.00784,34.6988,0.590664,0.564429,0.560661,8.34486,0.000604804,2.1211,1.5111,19.4731,3.74722
37.958,30.202,53.2706,0.559202,1.29904,1.2408,84.3767,0.00531963,6.92038,7.00985,34.6987,0.53237,0.565278,0.561478,8.33284,0.00157118,2.12128,1.51178,19.4924,3.75135
37.9556,30.1996,53.2709,0.616861,1.29915,1.2408,84.4217,0.00240298,6.91791,7.00742,34.6991,0.590029,0.565388,0.561475,8.37792,0.000939942,2.12025,1.51112,19.4011,3.7473
37.9573,30.2013,53.2706,0.443449,1.29898,1.24077,84.4128,0.00373813,6.91963,7.00914,34.6987,0.416618,0.565214,0.561448,8.36903,0.000437193,2.12044,1.51323,19.4207,3.76032
37.9537,30.1978,53.2711,0.504078,1.29731,1.23895,84.399,0.00388687,6.91606,7.00558,34.6992,0.477247,0.563542,0.559633,8.35518,0.00165463,2.12086,1.51256,19.4537,3.75618
37.9562,30.2003,53.2708,0.479667,1.29887,1.24058,84.399,0.00481086,6.91858,7.0081,34.699,0.452835,0.565108,0.561259,8.35517,0.00089777,2.12076,1.5128,19.4487,3.75768
37.957,30.2011,53.2705,0.576699,1.29746,1.23934,84.3766,0.00568099,6.91937,7.00892,34.6987,0.549867,0.563695,0.56002,8.33276,0.00189084,2.12135,1.51158,19.4982,3.75017
37.955,30.199,53.2712,0.51736,1.299,1.24059,84.422,0.00409526,6.91733,7.00682,34.6994,0.490529,0.565233,0.561268,8.37823,0.00208661,2.12021,1.51236,19.3988,3.75496
37.9544,30.1985,53.2716,0.525874,1.29894,1.24043,84.4096,0.00437124,6.9168,7.00633,34.6998,0.499043,0.565178,0.561109,8.36582,0.00154044,2.12051,1.51226,19.4258,3.75436
37.9567,30.2008,53.2708,0.547251,1.29758,1.23941,84.3837,0.00554881,6.91902,7.00855,34.6989,0.520419,0.563813,0.560093,8.33989,0.00236464,2.12117,1.51195,19.4822,3.75245
37.9546,30.1987,53.2702,0.620638,1.29767,1.23964,84.3628,0.00296386,6.91694,7.00647,34.6984,0.593807,0.563905,0.560318,8.31895,0.000963095,2.12174,1.5111,19.5276,3.74721
37.9558,30.1999,53.2706,0.591495,1.29767,1.23949,84.4007,0.00301516,6.91818,7.0077,34.6987,0.564664,0.563899,0.560166,8.35691,0.00113512,2.12082,1.51143,19.4494,3.74922
37.9564,30.2004,53.2709,0.590116,1.29852,1.24024,84.3748,0.00405266,6.91873,7.00823,34.699,0.563285,0.56475,0.560922,8.33103,0.00157617,2.12138,1.51143,19.4984,3.74922
37.9569,30.201,53.271,0.528575,1.29945,1.24111,84.399,0.00540892,6.91927,7.00879,34.6992,0.501744,0.56568,0.561785,8.35517,0.00195193,2.12072,1.51218,19.4443,3.75382
37.9567,30.2007,53.2712,0.484368,1.29835,1.23998,84.411,0.00262017,6.91902,7.00853,34.6994,0.457537,0.564579,0.560661,8.36723,0.000475456,2.12055,1.51273,19.4272,3.75723
37.9571,30.2012,53.2713,0.531624,1.29952,1.24105,84.4267,0.00525728,6.9195,7.00898,34.6994,0.504793,0.565751,0.561724,8.38287,0.00147652,2.12005,1.51213,19.3887,3.75354
37.9537,30.1977,53.2708,0.504581,1.29831,1.23995,84.4047,0.00416671,6.91603,7.00554,34.699,0.47775,0.56454,0.560631,8.36088,0.00170841,2.12067,1.51256,19.4378,3.75617
37.9563,30.2004,53.2706,0.545819,1.2984,1.24023,84.3489,0.00553166,6.91866,7.00819,34.6988,0.518987,0.564631,0.560913,8.30509,0.00178795,2.12198,1.51198,19.5519,3.75263
37.9564,30.2005,53.2707,0.471132,1.29831,1.24012,84.399,0.00243306,6.91878,7.00831,34.6988,0.444301,0.564542,0.560803,8.35515,0.000732966,2.12084,1.51291,19.4512,3.75832
