epoch,average loss,accuracy
193.000000,27.169918,81.889999
194.000000,23.206278,84.790001
195.000000,25.249176,83.239998
196.000000,22.728302,85.419998
197.000000,29.267900,80.389999
198.000000,23.706676,84.349998
199.000000,25.690693,83.029999
200.000000,17.136484,88.709999
201.000000,16.826929,88.970001
202.000000,16.038145,89.570000
203.000000,15.747336,89.720001
204.000000,15.606218,89.849998
205.000000,15.630857,90.040001
206.000000,15.737863,89.639999
207.000000,15.652681,89.870003
208.000000,15.311590,89.919998
209.000000,14.821406,90.309998
210.000000,15.170393,90.010002
211.000000,14.969816,90.330002
212.000000,14.993949,90.300003
213.000000,15.145234,90.010002
214.000000,14.931026,90.290001
215.000000,14.582020,90.669998
216.000000,14.532594,90.529999
217.000000,14.753335,90.309998
218.000000,14.807009,90.379997
219.000000,14.574616,90.599998
220.000000,15.324268,90.160004
221.000000,15.167522,90.099998
222.000000,14.686276,90.620003
223.000000,14.610846,90.639999
224.000000,14.890852,90.300003
225.000000,14.869465,90.459999
226.000000,14.658473,90.540001
227.000000,14.513021,90.510002
228.000000,14.491780,90.480003
229.000000,14.585648,90.580002
230.000000,13.909110,90.980003
231.000000,15.028221,90.220001
232.000000,14.624164,90.570000
233.000000,14.575969,90.410004
234.000000,14.601991,90.589996
235.000000,14.497524,90.730003
236.000000,14.399292,90.809998
237.000000,14.424659,90.720001
238.000000,14.704792,90.519997
239.000000,14.388582,90.760002
240.000000,14.697749,90.550003
241.000000,13.879495,91.199997
242.000000,14.654314,90.550003
243.000000,14.408142,90.760002
244.000000,14.833003,90.309998
245.000000,14.440304,90.760002
246.000000,14.399526,90.750000
247.000000,14.774367,90.440002
248.000000,14.928096,90.339996
249.000000,13.832005,91.199997
250.000000,13.832908,91.180000
251.000000,13.832504,91.220001
252.000000,13.831216,91.199997
253.000000,13.831913,91.199997
254.000000,13.832573,91.209999
255.000000,13.832372,91.220001
256.000000,13.829560,91.190002
