1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.000741,0.000290,-0.000239,0.000127,0.000034,-0.000019,0.000007,-0.000201,0.028700,0.019099,0.016993,0.014612,0.017157,0.017625,0.007306,0.011133
0.000977,-0.000288,0.000220,-0.000212,-0.000118,-0.000202,-0.000039,-0.000513,0.026840,0.023320,0.016773,0.018800,0.020378,0.017032,0.008122,0.011310
-0.001194,0.001130,-0.000215,0.000293,-0.000075,0.000258,0.000017,0.000391,0.028586,0.023584,0.022795,0.020534,0.017242,0.013708,0.008754,0.013126
-0.005046,-0.000507,0.000771,0.000603,0.000202,0.000084,0.000020,0.000226,0.033090,0.020483,0.020736,0.019851,0.013185,0.012213,0.006384,0.012149
0.005245,-0.001161,0.000273,0.000220,-0.000156,-0.000232,-0.000011,-0.000183,0.033213,0.019405,0.017519,0.020393,0.020884,0.013291,0.007777,0.010222
0.001157,-0.000670,0.000787,-0.000043,-0.000015,0.000070,0.000043,-0.000012,0.031305,0.019343,0.024250,0.015291,0.017911,0.018231,0.006075,0.012135
0.000362,0.000067,-0.001687,-0.000159,-0.000233,-0.000229,0.000012,-0.000104,0.027190,0.018244,0.023018,0.019692,0.015751,0.016025,0.007272,0.009863
0.001827,0.001132,-0.000124,-0.000177,0.000015,-0.000065,0.000007,-0.000189,0.035776,0.024245,0.021527,0.016389,0.021355,0.015445,0.005934,0.012732
0.000217,-0.000749,0.000071,0.000096,-0.000034,-0.000128,-0.000020,-0.000305,0.029274,0.018230,0.022201,0.019363,0.017656,0.016249,0.007642,0.011780
0.001519,0.000126,0.000054,-0.000410,-0.000194,-0.000449,-0.000023,-0.000110,0.029885,0.021459,0.017699,0.016097,0.016261,0.018613,0.005494,0.011049
-0.004105,-0.001567,0.000804,-0.000056,-0.000180,-0.000124,-0.000013,0.000031,0.031687,0.022216,0.021829,0.014992,0.019918,0.014912,0.005358,0.009747
0.000217,-0.000875,-0.000365,-0.000221,0.000095,-0.000208,0.000045,-0.000037,0.027727,0.018623,0.021243,0.014880,0.021046,0.017900,0.006203,0.010409
0.001447,-0.000454,-0.000397,-0.000244,-0.000325,-0.000234,0.000017,-0.000067,0.031795,0.019156,0.023540,0.015369,0.018438,0.018638,0.006374,0.010608
-0.001953,-0.001268,-0.000092,0.000477,0.000138,0.000173,0.000027,0.000116,0.027288,0.023055,0.021694,0.020399,0.016820,0.017069,0.006770,0.010962
0.000018,0.001074,0.000007,0.000245,-0.000551,0.000072,-0.000000,0.000421,0.032687,0.020237,0.017779,0.017794,0.021173,0.017695,0.005436,0.009893
-0.003219,0.000611,-0.000136,0.000656,0.000184,0.000582,-0.000012,-0.000354,0.032336,0.023086,0.017458,0.019339,0.017051,0.016037,0.007500,0.010728
-0.002785,-0.000596,-0.000007,-0.000674,-0.000171,0.000029,-0.000000,-0.000092,0.033576,0.018212,0.022018,0.017184,0.016758,0.016243,0.005918,0.011961
0.001537,0.001561,-0.000070,-0.000037,0.000072,-0.000183,0.000009,0.000104,0.022378,0.020982,0.017983,0.021641,0.016387,0.017132,0.006474,0.010390
0.002405,0.000243,-0.000291,0.000285,0.000526,-0.000060,0.000004,0.000323,0.028330,0.019311,0.024420,0.015055,0.017165,0.013040,0.005518,0.009780
-0.003418,0.000800,-0.000835,-0.000004,-0.000047,0.000177,0.000007,0.000446,0.030793,0.019360,0.023543,0.013419,0.016378,0.015873,0.006837,0.010344
-0.000832,-0.000044,-0.000629,-0.000202,0.000093,-0.000181,-0.000028,0.000116,0.029723,0.021220,0.017899,0.020447,0.018716,0.018156,0.006994,0.010092
0.002532,-0.001011,-0.000121,0.000262,0.000011,-0.000087,0.000005,-0.000037,0.031405,0.023330,0.020863,0.018435,0.017494,0.015239,0.006662,0.009448
0.000995,0.001794,0.000054,-0.000285,0.000192,-0.000160,-0.000038,0.000006,0.032602,0.021611,0.019999,0.015328,0.013493,0.013489,0.007244,0.010962
0.001573,0.000387,0.000408,0.000153,0.000167,0.000062,0.000024,-0.000201,0.029444,0.018692,0.022744,0.018421,0.014563,0.016250,0.005867,0.010714
0.004159,0.000918,-0.000443,-0.000025,0.000223,0.000356,0.000034,0.000220,0.034269,0.019802,0.026302,0.019130,0.017728,0.014062,0.005534,0.011252
0.003762,-0.000214,-0.000532,-0.000234,-0.000061,0.000151,-0.000000,-0.000232,0.036050,0.019835,0.022457,0.016459,0.018824,0.017746,0.008129,0.009075
0.001827,0.000016,0.000204,-0.000264,-0.000398,-0.000454,-0.000018,0.000159,0.034488,0.019656,0.025230,0.017933,0.018418,0.018458,0.006985,0.011048
0.003291,-0.002115,-0.000046,-0.000512,0.000065,-0.000049,-0.000020,-0.000128,0.033395,0.024860,0.024275,0.020077,0.019297,0.012501,0.006102,0.010572
